opportunity_competitor_id,opportunity_id,competitor_id,is_primary_competitor,perceived_strength,price_positioning,capture_notes
195,137,6,true,medium,lower,
196,137,2,false,medium,similar,
197,137,5,false,low,lower,Competitive overlap in control tower workflows
198,138,4,true,medium,similar,
199,139,6,true,high,similar,
200,140,5,true,low,unknown,Competitive overlap in control tower workflows
201,141,6,true,medium,similar,
202,143,6,true,medium,similar,
203,144,3,true,medium,similar,Competitive overlap in control tower workflows
204,145,1,true,medium,similar,
205,145,3,false,low,similar,
206,145,5,false,low,higher,
207,146,3,true,medium,lower,
208,147,5,true,high,lower,
209,147,1,false,high,lower,
210,148,2,true,medium,higher,
211,148,5,false,medium,similar,
212,150,6,true,low,similar,
213,150,2,false,low,higher,
214,151,3,true,medium,higher,
215,152,2,true,high,unknown,
216,153,3,true,high,lower,
217,154,3,true,medium,higher,
218,154,2,false,medium,similar,
219,154,1,false,high,lower,
220,156,6,true,low,lower,
221,157,5,true,medium,higher,
222,158,2,true,high,lower,
223,159,3,true,high,similar,
224,160,4,true,medium,higher,
225,161,5,true,medium,lower,Competitive overlap in control tower workflows
226,162,2,true,medium,similar,
227,162,3,false,medium,similar,
228,163,1,true,medium,similar,
229,164,1,true,medium,similar,
230,164,5,false,high,lower,Competitive overlap in control tower workflows
231,165,1,true,medium,higher,
232,165,3,false,high,lower,
233,166,1,true,low,higher,
234,166,6,false,medium,similar,
235,167,2,true,medium,similar,
236,167,3,false,high,lower,
237,167,4,false,high,similar,Competitive overlap in control tower workflows
238,168,3,true,high,similar,
239,169,1,true,high,similar,Competitive overlap in control tower workflows
240,170,3,true,low,similar,
241,171,6,true,medium,similar,
242,171,4,false,high,higher,
243,172,4,true,low,similar,Competitive overlap in control tower workflows
244,172,3,false,high,lower,
245,173,5,true,high,lower,
246,174,2,true,medium,lower,Competitive overlap in control tower workflows
247,175,3,true,medium,higher,
248,176,4,true,high,higher,
249,176,3,false,medium,unknown,
250,177,2,true,high,unknown,
251,177,4,false,low,higher,
252,178,1,true,medium,similar,
253,182,6,true,high,similar,
254,182,2,false,medium,similar,
255,183,6,true,high,similar,
256,184,6,true,medium,higher,
257,184,3,false,medium,lower,
258,185,6,true,medium,lower,
259,186,6,true,high,higher,
260,187,2,true,medium,higher,
261,188,6,true,medium,lower,
262,188,4,false,medium,higher,
263,189,1,true,high,lower,
264,190,4,true,low,higher,
265,190,3,false,high,similar,
266,190,5,false,high,higher,
267,191,5,true,medium,unknown,
268,191,2,false,low,lower,Competitive overlap in control tower workflows
269,191,4,false,high,unknown,
270,192,5,true,high,similar,
271,193,4,true,medium,lower,
272,193,1,false,high,similar,
273,194,3,true,high,similar,
274,194,4,false,high,similar,Competitive overlap in control tower workflows
275,194,5,false,high,similar,
276,195,1,true,medium,higher,Competitive overlap in control tower workflows
277,195,4,false,medium,similar,
278,196,3,true,medium,unknown,
279,196,2,false,medium,lower,
280,197,5,true,medium,similar,
281,197,6,false,high,similar,Competitive overlap in control tower workflows
282,197,4,false,medium,lower,Competitive overlap in control tower workflows
283,200,1,true,medium,lower,
284,200,3,false,medium,similar,
285,201,1,true,high,lower,
286,201,2,false,medium,higher,
287,202,3,true,high,higher,Competitive overlap in control tower workflows
288,202,1,false,high,unknown,
289,202,2,false,high,similar,
290,203,4,true,high,higher,
291,203,6,false,high,higher,
292,204,1,true,medium,similar,
293,204,4,false,medium,lower,
294,206,1,true,medium,lower,
295,207,6,true,high,similar,
296,207,1,false,high,lower,
297,208,5,true,high,unknown,
298,210,3,true,low,lower,
299,210,1,false,medium,higher,
300,211,3,true,medium,similar,
301,211,5,false,medium,similar,
302,212,1,true,low,higher,
303,213,4,true,medium,similar,
304,214,4,true,medium,lower,
305,215,6,true,low,higher,Competitive overlap in control tower workflows
306,215,5,false,high,lower,Competitive overlap in control tower workflows
307,216,6,true,low,lower,
308,217,5,true,high,lower,Competitive overlap in control tower workflows
309,217,1,false,low,unknown,
310,218,2,true,high,lower,Competitive overlap in control tower workflows
311,219,2,true,high,similar,
312,219,4,false,medium,higher,
313,219,1,false,low,higher,
314,220,1,true,medium,higher,
315,220,4,false,high,similar,
316,220,3,false,medium,higher,Competitive overlap in control tower workflows
317,221,5,true,medium,similar,
318,221,2,false,high,higher,
319,222,4,true,high,unknown,
320,222,6,false,high,unknown,
321,223,3,true,medium,similar,
322,224,3,true,medium,lower,
323,224,2,false,low,higher,
324,225,6,true,medium,similar,
325,225,2,false,high,lower,Competitive overlap in control tower workflows
326,226,3,true,medium,similar,Competitive overlap in control tower workflows
327,226,5,false,high,similar,
328,226,6,false,medium,similar,
329,227,1,true,medium,lower,
330,227,6,false,medium,lower,
331,228,1,true,medium,similar,
332,229,4,true,medium,lower,
333,231,1,true,medium,similar,
334,231,6,false,medium,similar,
335,232,2,true,high,similar,Competitive overlap in control tower workflows
336,233,5,true,high,similar,
337,234,1,true,high,lower,
338,235,3,true,low,similar,Competitive overlap in control tower workflows
339,235,4,false,high,unknown,
340,236,1,true,high,similar,Competitive overlap in control tower workflows
341,237,6,true,low,lower,
342,238,2,true,medium,similar,
343,238,4,false,medium,similar,
344,240,2,true,low,unknown,Competitive overlap in control tower workflows
345,241,1,true,medium,similar,
346,241,2,false,high,lower,
347,242,6,true,medium,similar,Competitive overlap in control tower workflows
348,242,5,false,medium,lower,Competitive overlap in control tower workflows
349,243,1,true,medium,similar,
350,243,6,false,medium,similar,
351,243,4,false,medium,similar,
352,244,6,true,medium,lower,Competitive overlap in control tower workflows
353,245,2,true,low,higher,
354,245,1,false,medium,higher,
355,245,5,false,medium,similar,
356,246,3,true,low,higher,
357,247,4,true,medium,similar,
358,250,1,true,medium,lower,
359,251,3,true,high,unknown,
360,251,2,false,medium,higher,
361,252,2,true,high,higher,Competitive overlap in control tower workflows
362,253,3,true,high,lower,
363,254,3,true,low,similar,
364,254,6,false,high,lower,
365,254,5,false,medium,lower,
366,255,3,true,low,lower,
367,256,4,true,medium,higher,Competitive overlap in control tower workflows
368,256,3,false,medium,lower,
369,257,5,true,medium,similar,
370,258,2,true,high,lower,
371,258,5,false,medium,similar,
372,258,1,false,high,lower,
373,259,4,true,high,lower,
374,259,1,false,medium,similar,
375,260,2,true,medium,similar,
376,261,1,true,high,higher,Competitive overlap in control tower workflows
377,262,3,true,medium,similar,
378,262,1,false,high,similar,
379,263,1,true,medium,similar,
380,263,6,false,medium,higher,
381,263,4,false,high,similar,
382,264,3,true,medium,similar,
383,264,2,false,high,higher,
384,265,1,true,high,higher,Competitive overlap in control tower workflows
385,266,1,true,high,similar,
386,269,5,true,medium,lower,Competitive overlap in control tower workflows
387,269,4,false,medium,lower,
388,270,5,true,medium,similar,
389,270,4,false,medium,lower,
390,270,2,false,high,unknown,
391,271,1,true,medium,similar,Competitive overlap in control tower workflows
392,271,4,false,medium,similar,
393,272,1,true,medium,similar,
394,272,3,false,medium,lower,
395,273,2,true,low,lower,
396,273,6,false,medium,unknown,
397,273,1,false,high,similar,
398,274,5,true,high,similar,
399,275,2,true,low,similar,
400,275,1,false,high,similar,
401,277,3,true,high,lower,
402,277,6,false,high,unknown,
403,278,3,true,high,similar,
404,278,2,false,medium,lower,
405,279,3,true,high,similar,Competitive overlap in control tower workflows
406,280,2,true,medium,similar,
407,281,2,true,high,lower,
408,282,4,true,high,higher,
409,282,1,false,high,similar,
410,283,4,true,high,higher,
411,283,2,false,high,similar,
412,285,4,true,medium,similar,
413,286,4,true,medium,similar,
414,286,1,false,high,similar,Competitive overlap in control tower workflows
415,286,6,false,low,lower,
416,287,5,true,medium,higher,Competitive overlap in control tower workflows
417,287,4,false,medium,lower,
418,288,4,true,high,similar,
419,288,5,false,high,lower,
420,289,5,true,medium,unknown,
421,290,3,true,high,similar,Competitive overlap in control tower workflows
422,291,3,true,high,higher,Competitive overlap in control tower workflows
423,292,6,true,medium,higher,Competitive overlap in control tower workflows
424,292,1,false,high,similar,
425,293,1,true,medium,higher,
426,294,3,true,high,similar,
427,295,3,true,low,lower,Competitive overlap in control tower workflows
428,296,6,true,high,lower,
429,297,1,true,medium,similar,
430,297,2,false,medium,similar,
431,297,6,false,high,lower,
432,298,2,true,high,similar,
433,298,3,false,high,similar,
434,298,4,false,medium,lower,
435,299,2,true,medium,higher,Competitive overlap in control tower workflows
436,300,5,true,medium,unknown,
437,302,4,true,high,similar,
438,302,5,false,medium,similar,
439,302,1,false,medium,similar,
440,303,5,true,high,lower,
441,305,6,true,medium,lower,
442,306,1,true,high,similar,Competitive overlap in control tower workflows
443,306,2,false,medium,unknown,
444,307,1,true,medium,higher,
445,308,6,true,medium,higher,
446,309,1,true,medium,lower,Competitive overlap in control tower workflows
447,309,5,false,medium,similar,
448,310,3,true,medium,similar,
449,310,1,false,medium,similar,
450,311,4,true,high,higher,
451,311,1,false,low,similar,Competitive overlap in control tower workflows
452,312,3,true,medium,lower,Competitive overlap in control tower workflows
453,313,3,true,medium,lower,
454,313,2,false,low,lower,
455,314,5,true,low,similar,
456,315,2,true,medium,similar,
457,315,6,false,high,similar,Competitive overlap in control tower workflows
458,316,3,true,low,higher,
459,316,5,false,medium,lower,
460,318,5,true,high,similar,
461,319,3,true,high,higher,Competitive overlap in control tower workflows
462,319,2,false,medium,lower,
463,320,2,true,high,similar,
464,320,1,false,medium,similar,
465,321,5,true,high,similar,
466,323,1,true,medium,lower,
467,323,6,false,high,lower,Competitive overlap in control tower workflows
468,324,6,true,high,lower,
469,324,2,false,high,lower,
470,325,5,true,medium,lower,
471,326,4,true,medium,lower,
472,327,4,true,medium,similar,Competitive overlap in control tower workflows
473,328,2,true,medium,lower,
474,328,1,false,high,lower,
475,328,4,false,low,lower,
476,329,1,true,high,lower,
477,330,6,true,medium,higher,
478,330,2,false,high,similar,
479,331,2,true,medium,higher,
480,331,4,false,medium,lower,
481,332,6,true,medium,similar,Competitive overlap in control tower workflows
482,333,6,true,high,similar,
483,333,2,false,high,similar,
484,335,3,true,high,lower,
485,335,2,false,medium,similar,
486,336,6,true,low,higher,
487,337,4,true,medium,similar,
488,337,3,false,low,lower,
489,338,4,true,medium,unknown,Competitive overlap in control tower workflows
490,339,2,true,medium,lower,
491,339,1,false,high,similar,
492,340,3,true,medium,similar,
493,341,3,true,low,similar,
494,341,5,false,high,similar,
495,342,5,true,high,lower,Competitive overlap in control tower workflows
496,344,2,true,high,higher,
497,345,4,true,medium,similar,Competitive overlap in control tower workflows
498,345,5,false,low,similar,Competitive overlap in control tower workflows
499,347,2,true,medium,similar,Competitive overlap in control tower workflows
500,348,4,true,high,similar,
501,349,6,true,low,lower,Competitive overlap in control tower workflows
502,350,3,true,medium,similar,Competitive overlap in control tower workflows
503,351,3,true,medium,unknown,
504,351,4,false,medium,higher,
505,352,3,true,low,similar,
506,352,4,false,high,higher,
507,353,4,true,medium,lower,
508,353,6,false,medium,lower,
509,354,3,true,medium,lower,Competitive overlap in control tower workflows
510,355,2,true,high,lower,
511,355,3,false,medium,similar,
512,355,6,false,medium,similar,Competitive overlap in control tower workflows
513,356,3,true,low,lower,Competitive overlap in control tower workflows
514,357,5,true,medium,similar,
515,357,3,false,low,similar,
516,358,1,true,high,higher,Competitive overlap in control tower workflows
517,358,2,false,high,unknown,
518,359,2,true,medium,similar,
519,359,4,false,high,similar,
520,360,6,true,medium,similar,
521,361,3,true,high,lower,Competitive overlap in control tower workflows
522,361,5,false,high,lower,
523,362,1,true,medium,similar,
524,362,6,false,medium,higher,
525,364,5,true,medium,similar,Competitive overlap in control tower workflows
526,364,6,false,medium,higher,Competitive overlap in control tower workflows
527,365,1,true,medium,similar,
528,366,2,true,high,lower,
529,366,4,false,high,similar,
530,366,3,false,low,lower,
531,367,2,true,medium,lower,Competitive overlap in control tower workflows
532,368,5,true,medium,lower,
533,368,1,false,medium,unknown,
534,369,6,true,medium,lower,Competitive overlap in control tower workflows
535,369,2,false,high,lower,Competitive overlap in control tower workflows
536,370,2,true,high,lower,Competitive overlap in control tower workflows
537,370,3,false,medium,similar,Competitive overlap in control tower workflows
538,371,4,true,high,unknown,
539,371,2,false,high,higher,Competitive overlap in control tower workflows
540,372,4,true,high,similar,
541,373,3,true,high,lower,
542,373,1,false,medium,similar,
543,374,1,true,medium,similar,
544,374,5,false,low,similar,
545,377,1,true,medium,similar,
546,377,6,false,medium,similar,
547,378,6,true,high,similar,
548,379,1,true,low,lower,
549,379,2,false,low,similar,
550,379,6,false,high,higher,
551,380,2,true,low,similar,
552,380,5,false,low,similar,
553,381,6,true,medium,similar,Competitive overlap in control tower workflows
554,381,1,false,low,lower,
555,381,3,false,medium,lower,
556,382,6,true,medium,lower,
557,382,4,false,low,similar,
558,382,1,false,low,higher,
559,384,1,true,medium,similar,
560,384,4,false,medium,similar,
561,385,3,true,high,higher,Competitive overlap in control tower workflows
562,385,6,false,high,similar,
563,386,2,true,high,similar,
564,386,4,false,medium,similar,
565,387,2,true,low,similar,
566,387,5,false,low,similar,
567,388,2,true,high,lower,
568,389,6,true,high,similar,Competitive overlap in control tower workflows
569,389,1,false,medium,lower,
570,390,4,true,high,unknown,
571,390,2,false,low,similar,
572,390,3,false,medium,higher,Competitive overlap in control tower workflows
573,391,2,true,high,unknown,
574,391,6,false,low,similar,
575,392,1,true,low,lower,
576,393,5,true,high,similar,
577,393,6,false,medium,similar,
578,394,1,true,low,similar,
579,394,2,false,medium,unknown,
580,395,3,true,high,similar,
581,395,4,false,high,similar,
582,396,2,true,low,unknown,
583,396,1,false,medium,similar,
584,397,3,true,high,higher,Competitive overlap in control tower workflows
585,398,1,true,high,lower,
586,399,6,true,medium,similar,
587,399,5,false,low,lower,
588,401,6,true,high,higher,
589,401,3,false,high,similar,
590,402,5,true,high,similar,
591,404,3,true,medium,similar,
592,404,1,false,medium,similar,Competitive overlap in control tower workflows
593,405,1,true,high,similar,
594,405,5,false,medium,higher,
595,406,3,true,high,similar,Competitive overlap in control tower workflows
596,406,5,false,high,similar,Competitive overlap in control tower workflows
597,408,1,true,medium,higher,Competitive overlap in control tower workflows
598,409,2,true,high,similar,
599,409,1,false,low,lower,
600,409,4,false,low,similar,
601,410,5,true,high,similar,
602,410,2,false,low,lower,
603,410,1,false,medium,lower,
604,411,5,true,medium,lower,
605,412,2,true,high,lower,
606,413,3,true,medium,higher,
607,414,1,true,high,higher,
608,416,3,true,low,lower,
609,418,2,true,medium,similar,
610,418,1,false,medium,lower,
611,418,5,false,low,higher,
612,419,4,true,medium,lower,
613,420,1,true,medium,higher,
614,421,4,true,low,higher,
615,421,2,false,high,similar,
616,422,1,true,high,similar,
617,422,6,false,high,unknown,
618,422,2,false,high,lower,
619,423,2,true,low,similar,
620,424,4,true,high,similar,
621,425,3,true,medium,similar,Competitive overlap in control tower workflows
622,426,1,true,medium,similar,
623,427,6,true,high,similar,Competitive overlap in control tower workflows
624,427,4,false,medium,similar,
625,428,2,true,low,similar,
626,429,2,true,medium,lower,
627,429,1,false,medium,higher,Competitive overlap in control tower workflows
628,430,5,true,low,similar,Competitive overlap in control tower workflows
629,430,3,false,low,lower,
630,431,1,true,medium,similar,
631,432,2,true,low,unknown,
632,433,6,true,medium,similar,
633,436,3,true,high,similar,
634,436,5,false,medium,higher,
635,436,2,false,high,higher,Competitive overlap in control tower workflows
636,437,5,true,high,similar,
637,437,6,false,medium,unknown,
638,438,3,true,medium,lower,
639,439,6,true,medium,similar,
640,440,1,true,medium,higher,
641,441,4,true,medium,lower,
642,441,6,false,high,unknown,Competitive overlap in control tower workflows
643,442,4,true,high,higher,
644,442,2,false,medium,similar,
645,443,5,true,high,lower,Competitive overlap in control tower workflows
646,443,3,false,high,lower,
647,444,2,true,high,similar,
648,444,1,false,low,higher,
649,446,4,true,low,similar,Competitive overlap in control tower workflows
650,447,4,true,medium,similar,Competitive overlap in control tower workflows
651,448,3,true,medium,lower,
652,449,5,true,low,higher,
653,450,6,true,high,higher,
654,451,4,true,medium,similar,
655,452,3,true,low,similar,Competitive overlap in control tower workflows
656,452,4,false,high,lower,
657,452,6,false,high,similar,Competitive overlap in control tower workflows
658,453,6,true,low,lower,
659,453,3,false,high,similar,
660,454,1,true,high,lower,
661,455,2,true,medium,similar,Competitive overlap in control tower workflows
662,455,6,false,high,higher,
663,456,3,true,high,similar,
664,456,4,false,low,higher,
665,457,3,true,high,higher,
666,457,6,false,high,lower,
667,458,5,true,high,higher,
668,459,6,true,low,similar,
669,461,3,true,medium,lower,
670,461,2,false,low,unknown,
671,462,1,true,medium,lower,
672,462,4,false,high,lower,
673,463,1,true,medium,similar,
674,464,2,true,high,similar,Competitive overlap in control tower workflows
675,464,4,false,medium,similar,
676,465,5,true,medium,lower,
677,466,2,true,high,lower,
678,466,1,false,medium,lower,Competitive overlap in control tower workflows
679,467,3,true,low,similar,
680,467,5,false,high,similar,
681,468,1,true,medium,similar,Competitive overlap in control tower workflows
682,468,6,false,high,similar,
683,468,5,false,medium,higher,Competitive overlap in control tower workflows
684,469,4,true,medium,lower,
685,469,6,false,high,higher,
686,471,1,true,medium,higher,Competitive overlap in control tower workflows
687,472,2,true,high,similar,
688,472,3,false,medium,similar,
689,473,6,true,high,similar,Competitive overlap in control tower workflows
690,473,3,false,high,lower,
691,474,2,true,medium,higher,
692,474,4,false,high,unknown,
693,475,2,true,high,lower,
694,475,6,false,medium,lower,
695,476,4,true,medium,unknown,Competitive overlap in control tower workflows
696,477,1,true,high,similar,
697,477,2,false,medium,similar,Competitive overlap in control tower workflows
698,479,4,true,low,lower,
699,483,3,true,high,similar,
700,483,5,false,low,similar,Competitive overlap in control tower workflows
701,483,6,false,medium,lower,Competitive overlap in control tower workflows
702,484,3,true,low,higher,
703,484,4,false,medium,lower,Competitive overlap in control tower workflows
704,485,3,true,high,unknown,
705,487,5,true,high,lower,
706,487,2,false,medium,similar,Competitive overlap in control tower workflows
707,488,2,true,high,lower,Competitive overlap in control tower workflows
708,489,2,true,medium,lower,Competitive overlap in control tower workflows
709,489,3,false,medium,similar,
710,491,3,true,high,unknown,
711,492,1,true,medium,similar,
712,492,3,false,high,lower,
713,492,5,false,medium,lower,Competitive overlap in control tower workflows
714,493,5,true,medium,higher,
715,493,2,false,high,higher,
716,493,1,false,high,similar,
717,494,3,true,medium,unknown,
718,494,2,false,high,similar,
719,496,5,true,medium,unknown,
720,496,2,false,medium,unknown,
721,497,4,true,medium,similar,
722,497,5,false,high,higher,
723,497,6,false,medium,unknown,
724,498,5,true,medium,lower,
725,498,2,false,high,lower,
726,500,6,true,medium,similar,
727,501,2,true,medium,similar,
728,502,5,true,medium,similar,
729,503,3,true,medium,similar,Competitive overlap in control tower workflows
730,503,4,false,medium,lower,
731,504,6,true,high,lower,
732,504,3,false,high,lower,
733,505,6,true,medium,similar,
734,506,2,true,low,lower,Competitive overlap in control tower workflows
735,508,1,true,high,similar,
736,508,3,false,low,similar,Competitive overlap in control tower workflows
737,508,6,false,low,similar,
738,509,5,true,low,higher,
739,510,5,true,high,higher,Competitive overlap in control tower workflows
740,510,1,false,medium,similar,
741,511,4,true,high,similar,
742,513,4,true,medium,lower,
743,513,3,false,medium,similar,
744,514,1,true,high,lower,
745,514,5,false,low,unknown,
746,515,4,true,high,higher,
747,516,4,true,medium,higher,
748,516,1,false,high,higher,
749,516,6,false,medium,similar,
750,517,6,true,high,lower,
751,521,1,true,low,higher,
752,522,2,true,medium,similar,
753,522,1,false,high,similar,Competitive overlap in control tower workflows
754,523,6,true,low,lower,
755,524,4,true,high,higher,
756,524,6,false,low,lower,
757,526,1,true,low,higher,
758,526,3,false,medium,lower,
759,526,2,false,medium,higher,
760,527,5,true,medium,similar,
761,527,1,false,medium,lower,
762,527,2,false,low,lower,
763,528,6,true,medium,similar,
764,529,2,true,high,higher,Competitive overlap in control tower workflows
765,530,1,true,high,lower,
766,531,4,true,high,similar,
767,532,1,true,low,unknown,
768,532,3,false,medium,lower,Competitive overlap in control tower workflows
769,533,4,true,high,similar,
770,533,6,false,low,similar,
771,533,3,false,low,lower,
772,534,2,true,medium,similar,
773,536,5,true,low,lower,
774,536,4,false,high,similar,
775,538,2,true,medium,similar,Competitive overlap in control tower workflows
776,539,5,true,low,lower,
777,540,4,true,medium,lower,
778,541,1,true,high,similar,Competitive overlap in control tower workflows
779,542,2,true,high,unknown,
780,543,6,true,medium,higher,Competitive overlap in control tower workflows
781,543,5,false,high,similar,Competitive overlap in control tower workflows
782,544,3,true,low,lower,
783,544,2,false,high,lower,
784,545,6,true,high,lower,Competitive overlap in control tower workflows
785,545,5,false,high,similar,
786,546,1,true,medium,higher,Competitive overlap in control tower workflows
787,546,2,false,high,similar,
788,546,3,false,medium,lower,
789,547,2,true,medium,similar,
790,548,1,true,high,higher,Competitive overlap in control tower workflows
791,549,3,true,medium,unknown,
792,551,5,true,high,lower,
793,551,3,false,medium,similar,Competitive overlap in control tower workflows
794,552,5,true,medium,lower,
795,552,1,false,medium,higher,
796,553,2,true,medium,unknown,Competitive overlap in control tower workflows
797,553,5,false,low,similar,Competitive overlap in control tower workflows
798,554,3,true,low,unknown,
799,558,3,true,high,lower,
