contract_term_id,contract_id,term_sequence,effective_start_date,effective_end_date,term_length_months,payment_terms_days,overage_policy_type,volume_commitment_type,annual_subscription_fee,implementation_fee,support_tier,support_fee,transaction_fee_per_unit,committed_transaction_volume,ramp_discount_pct,renewal_uplift_pct,price_escalator_pct,termination_for_convenience_flag,price_hold_months,service_level_notes
14,9,2,2025-08-28,2026-08-27,12,90,hard_cap,hard_commit,973540.45,0.0,enterprise,189710.31,0.00962,9075436,0.0,5.03,3.8,false,6,
15,9,3,2026-08-28,2027-08-27,12,90,per_unit_overage,hard_commit,1016775.25,0.0,enterprise,198135.32,0.01005,9424491,0.0,7.53,4.12,false,0,Custom onboarding and SLA language applied for rollout phases
16,10,1,2025-01-22,2026-01-21,12,30,true_up,hard_commit,1775193.33,561286.08,premium,247464.04,0.01058,16140057,19.37,4.22,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
17,10,2,2026-01-22,2027-01-21,12,30,tiered_overage,soft_commit,1855964.63,0.0,premium,258723.65,0.01106,16785659,0.0,3.62,4.55,true,6,Custom onboarding and SLA language applied for rollout phases
18,10,3,2027-01-22,2028-01-21,12,60,tiered_overage,ramp_commit,1952307.37,0.0,premium,272153.95,0.01164,17431261,0.0,6.29,4.87,false,6,Custom onboarding and SLA language applied for rollout phases
19,11,1,2023-11-02,2024-11-01,12,60,none,none,21936.22,4142.66,standard,1816.24,,,2.97,6.6,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
20,11,2,2024-11-02,2025-11-01,12,60,none,none,22642.57,0.0,standard,1874.72,,,0.0,5.19,3.22,false,6,
21,12,1,2024-03-16,2025-03-15,12,30,none,none,38736.27,2462.15,standard,3179.91,0.01239,82335,0.0,5.24,0.0,false,0,
22,13,1,2025-12-20,2026-12-19,12,30,tiered_overage,soft_commit,246246.16,19260.56,premium,33393.46,0.0104,7005734,0.0,5.05,0.0,true,0,
23,14,1,2023-10-29,2024-10-28,12,30,none,none,622943.86,41763.84,premium,85026.56,,,14.15,7.6,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
24,14,2,2024-10-29,2025-10-28,12,30,none,none,655710.71,0.0,premium,89498.96,,,0.0,7.0,5.26,false,6,Custom onboarding and SLA language applied for rollout phases
25,14,3,2025-10-29,2026-10-28,12,60,none,none,680921.4,0.0,premium,92940.0,,,0.0,3.97,4.55,false,0,Custom onboarding and SLA language applied for rollout phases
26,14,4,2026-10-29,2027-10-28,12,30,none,none,695887.12,0.0,premium,94982.7,,,0.0,7.59,3.76,false,3,Custom onboarding and SLA language applied for rollout phases
27,15,1,2025-04-16,2026-04-15,12,30,none,none,272733.45,20682.24,enterprise,51069.91,,,3.36,7.45,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
28,15,2,2026-04-16,2027-04-15,12,60,none,none,282197.3,0.0,enterprise,52842.04,,,0.0,5.44,3.47,false,0,
29,16,1,2023-03-19,2024-03-18,12,60,none,none,567562.45,37905.72,premium,76969.79,,,3.57,6.44,0.0,false,6,
30,16,2,2024-03-19,2025-03-18,12,45,none,none,591683.85,0.0,premium,80241.01,,,0.0,4.2,4.25,true,12,Custom onboarding and SLA language applied for rollout phases
31,17,1,2023-11-28,2024-11-27,12,30,tiered_overage,hard_commit,218476.9,32313.16,premium,29783.74,0.01094,5425896,0.0,6.29,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
32,18,1,2023-05-13,2024-05-12,12,60,none,none,202193.01,16932.26,premium,27624.86,,,13.64,5.8,0.0,true,12,
33,18,2,2024-05-13,2025-05-12,12,60,none,none,211837.62,0.0,premium,28942.57,,,0.0,3.56,4.77,true,6,Custom onboarding and SLA language applied for rollout phases
34,18,3,2025-05-13,2026-05-12,12,45,none,none,220124.21,0.0,premium,30074.73,,,0.0,5.67,4.34,true,6,Custom onboarding and SLA language applied for rollout phases
35,19,1,2024-05-07,2025-05-06,12,90,none,none,78362.0,9406.25,standard,6463.09,,,0.0,6.59,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
36,20,1,2026-02-03,2027-02-02,12,30,none,none,44912.69,2638.85,standard,3669.3,,,0.0,4.35,0.0,false,0,
37,21,1,2023-10-29,2024-10-28,12,30,true_up,hard_commit,310974.03,127046.16,premium,42497.72,0.0099,2445758,0.0,6.01,0.0,false,6,
38,22,1,2024-01-26,2025-01-25,12,30,none,none,131723.41,77717.77,standard,11146.56,0.00935,4666267,4.55,4.04,0.0,false,3,
39,22,2,2025-01-26,2026-01-25,12,30,none,none,136834.28,0.0,standard,11579.05,0.00971,4852917,0.0,5.26,3.88,false,0,
40,23,1,2025-08-24,2026-08-23,12,30,none,none,60346.19,8399.66,premium,8092.8,,,2.71,5.55,0.0,false,3,
41,23,2,2026-08-24,2027-08-23,12,30,none,none,61806.57,0.0,premium,8288.65,,,0.0,3.32,2.42,false,0,
42,24,1,2023-04-12,2024-04-11,12,30,tiered_overage,soft_commit,105804.84,23748.92,standard,8868.46,0.0111,1775824,3.89,7.23,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
43,24,2,2024-04-12,2025-04-11,12,60,hard_cap,hard_commit,109010.73,0.0,standard,9137.17,0.01144,1846856,0.0,4.31,3.03,false,0,Custom onboarding and SLA language applied for rollout phases
44,25,1,2025-09-22,2026-09-21,12,30,per_unit_overage,soft_commit,18935.7,1828.3,standard,1521.17,0.01037,267023,0.0,6.48,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
45,26,1,2023-12-06,2024-12-05,12,90,per_unit_overage,hard_commit,387445.25,158420.24,enterprise,75958.22,0.0093,1990771,22.5,5.85,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
46,26,2,2024-12-06,2025-12-05,12,30,hard_cap,ramp_commit,406352.58,0.0,enterprise,79664.98,0.00975,2070401,0.0,7.13,4.88,true,6,Custom onboarding and SLA language applied for rollout phases
47,26,3,2025-12-06,2026-12-05,12,90,per_unit_overage,ramp_commit,425289.08,0.0,enterprise,83377.46,0.01021,2150032,0.0,3.84,4.77,false,6,Custom onboarding and SLA language applied for rollout phases
48,27,1,2024-07-01,2025-06-30,12,60,true_up,soft_commit,1448395.04,153049.16,premium,204218.15,0.0105,15276840,22.95,7.04,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
49,27,2,2025-07-01,2026-06-30,12,60,tiered_overage,hard_commit,1488805.26,0.0,premium,209915.84,0.01079,15887913,0.0,6.62,2.79,false,6,Custom onboarding and SLA language applied for rollout phases
50,27,3,2026-07-01,2027-06-30,12,45,true_up,hard_commit,1533620.05,0.0,premium,216234.55,0.01112,16498987,0.0,5.32,2.9,true,6,Custom onboarding and SLA language applied for rollout phases
51,27,4,2027-07-01,2028-06-30,12,30,per_unit_overage,ramp_commit,1618461.9,0.0,premium,228196.92,0.01173,17110060,0.0,4.54,3.77,true,12,Custom onboarding and SLA language applied for rollout phases
52,28,1,2025-05-20,2026-05-19,12,60,none,none,837954.27,93089.6,enterprise,162931.28,,,21.89,4.97,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
53,28,2,2026-05-20,2027-05-19,12,45,none,none,883287.6,0.0,enterprise,171745.86,,,0.0,7.71,5.41,false,12,Custom onboarding and SLA language applied for rollout phases
54,28,3,2027-05-20,2028-05-19,12,60,none,none,887087.89,0.0,enterprise,172484.79,,,0.0,7.51,2.89,false,0,Custom onboarding and SLA language applied for rollout phases
55,29,1,2023-05-15,2024-05-14,12,30,none,none,25950.08,20225.17,premium,3497.09,,,0.0,3.08,0.0,false,0,
56,30,1,2025-09-10,2026-09-09,12,30,per_unit_overage,soft_commit,596982.1,153287.15,enterprise,117766.08,0.01173,3056217,6.75,3.92,0.0,false,0,
57,30,2,2026-09-10,2027-09-09,12,30,none,none,622831.42,0.0,enterprise,122865.35,0.01224,3178465,0.0,6.74,4.33,false,0,
58,31,1,2023-11-16,2024-11-15,12,45,per_unit_overage,ramp_commit,1297513.37,132274.49,enterprise,248529.57,0.01054,16770663,17.42,7.68,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
59,31,2,2024-11-16,2025-11-15,12,45,per_unit_overage,ramp_commit,1352138.68,0.0,enterprise,258992.66,0.01098,17441489,0.0,5.93,4.21,false,0,Custom onboarding and SLA language applied for rollout phases
60,31,3,2025-11-16,2026-11-15,12,60,true_up,soft_commit,1366660.05,0.0,enterprise,261774.13,0.0111,18112316,0.0,3.99,2.63,false,0,
61,32,1,2025-01-11,2026-01-10,12,90,none,none,927969.04,102492.48,premium,130752.24,,,22.06,6.57,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
62,32,2,2026-01-11,2027-01-10,12,30,none,none,958035.24,0.0,premium,134988.61,,,0.0,4.72,3.24,true,6,
63,32,3,2027-01-11,2028-01-10,12,30,none,none,1012783.64,0.0,premium,142702.74,,,0.0,4.57,4.47,true,3,Custom onboarding and SLA language applied for rollout phases
64,33,1,2023-11-03,2024-11-02,12,30,none,soft_commit,74471.25,9119.61,standard,6094.38,0.01018,1745061,0.0,5.16,0.0,false,0,
65,34,1,2024-08-01,2025-07-31,12,30,none,none,72525.65,3567.22,standard,6008.54,0.01091,918901,9.87,7.31,0.0,false,0,
66,34,2,2025-08-01,2026-07-31,12,30,per_unit_overage,none,74440.33,0.0,standard,6167.17,0.0112,955657,0.0,7.23,2.64,false,3,
67,34,3,2026-08-01,2027-07-31,12,30,none,soft_commit,78428.66,0.0,standard,6497.59,0.0118,992413,0.0,6.6,3.99,false,3,
68,35,1,2026-02-17,2027-02-16,12,30,none,none,37164.81,2384.42,standard,3015.98,,,0.0,7.86,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
69,36,1,2023-05-31,2024-05-30,12,30,none,none,87897.88,31237.74,premium,11838.76,,,0.0,6.89,0.0,false,0,
70,37,1,2023-08-02,2024-08-01,12,30,per_unit_overage,ramp_commit,137401.04,13221.48,enterprise,26159.79,0.00956,1841087,4.55,7.23,0.0,true,3,
71,37,2,2024-08-02,2025-08-01,12,45,per_unit_overage,ramp_commit,141701.69,0.0,enterprise,26978.59,0.00986,1914730,0.0,4.46,3.13,true,0,Custom onboarding and SLA language applied for rollout phases
72,38,1,2026-01-04,2027-01-03,12,30,none,none,358302.06,26529.41,premium,49253.5,,,0.0,4.43,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
73,39,1,2024-09-18,2025-09-17,12,30,none,none,619881.08,89302.45,premium,84982.52,,,4.35,4.38,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
74,39,2,2025-09-18,2026-09-17,12,45,none,none,640833.06,0.0,premium,87854.93,,,0.0,6.41,3.38,false,0,Custom onboarding and SLA language applied for rollout phases
75,40,1,2023-11-24,2024-11-23,12,45,tiered_overage,soft_commit,225243.25,33496.25,premium,31076.26,0.01095,5883325,4.78,5.34,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
76,40,2,2024-11-24,2025-11-23,12,45,true_up,hard_commit,236257.64,0.0,premium,32595.89,0.01149,6118658,0.0,3.57,4.89,true,6,Custom onboarding and SLA language applied for rollout phases
77,41,1,2023-08-01,2024-07-31,12,30,none,none,14146.15,3596.49,premium,1867.56,,,0.0,6.19,0.0,false,0,
78,42,1,2023-05-28,2024-05-27,12,30,none,none,17772.93,3867.13,standard,1477.02,0.01097,258197,10.3,3.27,0.0,false,0,
79,42,2,2024-05-28,2025-05-27,12,30,none,none,18267.02,0.0,standard,1518.08,0.01127,268524,0.0,5.29,2.78,false,0,
80,42,3,2025-05-28,2026-05-27,12,30,none,soft_commit,19138.27,0.0,standard,1590.49,0.01181,278852,0.0,4.99,3.77,false,0,
81,42,4,2026-05-28,2027-05-27,12,30,none,none,20148.24,0.0,standard,1674.42,0.01244,289180,0.0,4.35,4.27,false,0,
82,43,1,2024-01-16,2025-01-15,12,30,none,none,918242.85,94972.34,standard,77329.85,,,13.72,7.94,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
83,43,2,2025-01-16,2026-01-15,12,30,none,none,953778.85,0.0,standard,80322.52,,,0.0,3.81,3.87,true,12,Custom onboarding and SLA language applied for rollout phases
84,43,3,2026-01-16,2027-01-15,12,30,none,none,995464.72,0.0,standard,83833.09,,,0.0,4.02,4.12,false,12,Custom onboarding and SLA language applied for rollout phases
85,44,1,2023-12-22,2024-12-21,12,45,none,none,1786029.73,178884.15,enterprise,343388.03,,,17.93,7.37,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
86,44,2,2024-12-22,2025-12-21,12,90,none,none,1875152.61,0.0,enterprise,360523.09,,,0.0,7.43,4.99,false,6,Custom onboarding and SLA language applied for rollout phases
87,44,3,2025-12-22,2026-12-21,12,90,none,none,1939579.01,0.0,enterprise,372909.93,,,0.0,6.8,4.21,true,6,Custom onboarding and SLA language applied for rollout phases
88,45,1,2024-06-25,2025-06-24,12,45,none,none,1525835.26,152894.22,enterprise,291964.9,,,4.89,7.4,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
89,45,2,2025-06-25,2026-06-24,12,60,none,none,1596481.43,0.0,enterprise,305482.87,,,0.0,4.68,4.63,false,0,Custom onboarding and SLA language applied for rollout phases
90,46,1,2024-06-24,2025-06-23,12,30,none,none,26186.03,2043.57,standard,2109.32,,,0.0,6.69,0.0,false,0,
91,47,1,2023-08-24,2024-08-23,12,30,none,none,26921.3,2094.19,standard,2209.67,0.01112,84220,2.28,3.13,0.0,false,0,
92,47,2,2024-08-24,2025-08-23,12,30,none,none,28025.07,0.0,standard,2300.27,0.01158,87588,0.0,4.92,4.1,false,3,
93,48,1,2023-07-19,2024-07-18,12,30,none,soft_commit,24690.47,4265.42,premium,3251.16,0.0114,323242,1.19,7.0,0.0,false,0,
94,48,2,2024-07-19,2025-07-18,12,30,none,soft_commit,25875.61,0.0,premium,3407.22,0.01195,336171,0.0,4.98,4.8,false,0,
95,49,1,2023-09-24,2024-09-23,12,30,none,none,536683.88,38388.37,enterprise,103450.44,,,19.83,7.46,0.0,false,12,
96,49,2,2024-09-24,2025-09-23,12,60,none,none,560941.99,0.0,enterprise,108126.4,,,0.0,5.04,4.52,true,0,Custom onboarding and SLA language applied for rollout phases
97,49,3,2025-09-24,2026-09-23,12,90,none,none,593160.03,0.0,enterprise,114336.7,,,0.0,4.2,5.13,false,3,Custom onboarding and SLA language applied for rollout phases
98,50,1,2023-08-22,2024-08-21,12,30,per_unit_overage,hard_commit,1732981.05,388580.73,premium,245596.48,0.00914,23080746,23.53,5.25,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
99,50,2,2024-08-22,2025-08-21,12,60,hard_cap,ramp_commit,1778211.86,0.0,premium,252006.55,0.00938,24003975,0.0,6.06,2.61,false,0,
100,50,3,2025-08-22,2026-08-21,12,45,hard_cap,hard_commit,1851035.62,0.0,premium,262327.06,0.00976,24927205,0.0,4.5,3.35,false,6,Custom onboarding and SLA language applied for rollout phases
101,50,4,2026-08-22,2027-08-21,12,45,tiered_overage,hard_commit,1973080.84,0.0,premium,279623.2,0.01041,25850435,0.0,3.67,4.42,false,3,Custom onboarding and SLA language applied for rollout phases
102,50,5,2027-08-22,2028-08-21,12,90,per_unit_overage,ramp_commit,1968728.36,0.0,premium,279006.37,0.01038,26773665,0.0,5.44,3.24,false,0,Custom onboarding and SLA language applied for rollout phases
103,51,1,2023-07-22,2024-07-21,12,30,none,none,304340.04,23547.74,enterprise,58252.31,,,4.91,6.69,0.0,false,0,
104,51,2,2024-07-22,2025-07-21,12,30,none,none,313013.73,0.0,enterprise,59912.5,,,0.0,7.26,2.85,false,0,
105,52,1,2024-10-15,2025-10-14,12,30,tiered_overage,soft_commit,410914.37,107158.32,enterprise,78477.29,0.00961,2440031,4.76,5.72,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
106,52,2,2025-10-15,2026-10-14,12,45,per_unit_overage,soft_commit,427679.68,0.0,enterprise,81679.16,0.01,2537632,0.0,4.04,4.08,true,12,Custom onboarding and SLA language applied for rollout phases
107,53,1,2023-07-12,2024-07-11,12,30,none,none,307408.39,23611.04,premium,42387.09,,,15.79,3.87,0.0,false,0,
108,53,2,2024-07-12,2025-07-11,12,30,none,none,321426.21,0.0,premium,44319.94,,,0.0,4.16,4.56,false,0,
109,53,3,2025-07-12,2026-07-11,12,30,none,none,327460.77,0.0,premium,45152.02,,,0.0,6.56,3.21,false,3,
110,54,1,2023-07-29,2024-07-28,12,30,none,none,33931.21,7258.91,standard,2798.03,0.01086,240631,2.65,6.45,0.0,false,3,
111,54,2,2024-07-29,2025-07-28,12,30,none,soft_commit,35230.78,0.0,standard,2905.19,0.01128,250256,0.0,6.56,3.83,false,0,
112,55,1,2024-05-07,2025-05-06,12,45,tiered_overage,ramp_commit,1916926.95,413849.65,premium,268238.14,0.00907,10892563,20.83,4.93,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
113,55,2,2025-05-07,2026-05-06,12,30,tiered_overage,hard_commit,1966575.36,0.0,premium,275185.51,0.0093,11328265,0.0,4.17,2.59,true,6,
114,55,3,2026-05-07,2027-05-06,12,60,hard_cap,hard_commit,2079732.63,0.0,premium,291019.76,0.00984,11763968,0.0,5.44,4.16,false,0,Custom onboarding and SLA language applied for rollout phases
115,56,1,2025-09-28,2026-09-27,12,30,true_up,ramp_commit,28551.95,2159.87,standard,2363.08,0.01108,202261,10.19,7.05,0.0,false,12,Custom onboarding and SLA language applied for rollout phases
116,56,2,2026-09-28,2027-09-27,12,45,hard_cap,hard_commit,29368.54,0.0,standard,2430.66,0.0114,210351,0.0,5.86,2.86,false,3,
117,56,3,2027-09-28,2028-09-27,12,60,true_up,hard_commit,31622.59,0.0,standard,2617.22,0.01227,218441,0.0,6.25,5.24,false,0,Custom onboarding and SLA language applied for rollout phases
118,57,1,2023-07-24,2024-07-23,12,30,none,none,73512.83,9064.28,standard,6013.97,,,2.0,6.51,0.0,false,0,
119,57,2,2024-07-24,2025-07-23,12,30,none,none,75747.62,0.0,standard,6196.79,,,0.0,6.36,3.04,false,0,
120,58,1,2025-10-16,2026-10-15,12,60,true_up,ramp_commit,984427.6,330940.64,premium,137552.99,0.00989,17577697,19.49,3.57,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
121,58,2,2026-10-16,2027-10-15,12,60,hard_cap,hard_commit,1011499.36,0.0,premium,141335.7,0.01016,18280804,0.0,4.39,2.75,false,6,Custom onboarding and SLA language applied for rollout phases
122,58,3,2027-10-16,2028-10-15,12,90,hard_cap,ramp_commit,1077077.99,0.0,premium,150498.93,0.01082,18983912,0.0,4.78,4.6,true,6,Custom onboarding and SLA language applied for rollout phases
123,59,1,2025-10-17,2026-10-16,12,60,true_up,hard_commit,341871.46,44358.17,enterprise,65483.08,0.01086,1505886,17.72,7.91,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
124,59,2,2026-10-17,2027-10-16,12,60,per_unit_overage,hard_commit,351136.18,0.0,enterprise,67257.67,0.01115,1566121,0.0,7.27,2.71,true,0,Custom onboarding and SLA language applied for rollout phases
125,59,3,2027-10-17,2028-10-16,12,60,per_unit_overage,ramp_commit,369768.17,0.0,enterprise,70826.5,0.01175,1626356,0.0,6.7,4.0,false,0,
126,60,1,2023-04-17,2024-04-16,12,45,none,none,140604.79,13178.92,enterprise,26463.16,,,0.0,5.9,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
127,61,1,2023-09-06,2024-09-05,12,30,none,none,463992.2,55120.98,enterprise,88492.5,,,4.67,5.06,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
128,61,2,2024-09-06,2025-09-05,12,30,none,none,482041.5,0.0,enterprise,91934.86,,,0.0,4.6,3.89,true,6,
129,62,1,2025-12-06,2026-12-05,12,60,true_up,ramp_commit,604572.33,91539.33,enterprise,117065.74,0.01008,6986102,5.65,6.71,0.0,true,0,
130,62,2,2026-12-06,2027-12-05,12,45,tiered_overage,soft_commit,624946.42,0.0,enterprise,121010.86,0.01042,7265546,0.0,6.99,3.37,false,0,Custom onboarding and SLA language applied for rollout phases
131,63,1,2024-10-27,2025-10-26,12,45,tiered_overage,soft_commit,19474.05,1861.08,standard,1595.98,0.01146,207352,0.0,3.91,0.0,true,0,Custom onboarding and SLA language applied for rollout phases
132,64,1,2025-01-17,2026-01-16,12,30,none,none,17385.21,1785.25,standard,1401.62,,,0.0,3.0,0.0,false,0,
133,65,1,2025-08-31,2026-08-30,12,30,none,none,15200.45,1719.78,premium,1986.41,,,0.0,3.49,0.0,false,0,
134,66,1,2023-03-02,2024-03-01,12,30,none,none,30506.06,2197.78,premium,4052.17,0.01204,308608,0.0,4.73,0.0,false,3,
135,67,1,2024-02-24,2025-02-23,12,60,true_up,hard_commit,1839706.81,402542.94,enterprise,357991.78,0.01064,12328529,22.11,7.46,0.0,false,12,
136,67,2,2025-02-24,2026-02-23,12,90,per_unit_overage,hard_commit,1891586.54,0.0,enterprise,368087.15,0.01094,12821670,0.0,7.8,2.82,false,0,Custom onboarding and SLA language applied for rollout phases
137,67,3,2026-02-24,2027-02-23,12,30,true_up,ramp_commit,1978363.67,0.0,enterprise,384973.26,0.01144,13314811,0.0,7.71,3.7,false,12,Custom onboarding and SLA language applied for rollout phases
138,67,4,2027-02-24,2028-02-23,12,30,tiered_overage,hard_commit,2115726.12,0.0,enterprise,411702.86,0.01224,13807952,0.0,6.41,4.77,false,3,Custom onboarding and SLA language applied for rollout phases
139,68,1,2023-07-15,2024-07-14,12,30,per_unit_overage,hard_commit,538690.4,62919.48,enterprise,103546.37,0.01011,4542458,17.65,7.07,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
140,68,2,2024-07-15,2025-07-14,12,45,tiered_overage,hard_commit,559160.64,0.0,enterprise,107481.13,0.01049,4724156,0.0,6.73,3.8,true,3,
141,68,3,2025-07-15,2026-07-14,12,45,per_unit_overage,ramp_commit,580968.03,0.0,enterprise,111672.92,0.0109,4905854,0.0,6.03,3.85,false,0,Custom onboarding and SLA language applied for rollout phases
142,69,1,2023-09-09,2024-09-08,12,90,none,none,1998417.09,202466.23,enterprise,387179.83,,,21.18,3.71,0.0,false,0,Custom onboarding and SLA language applied for rollout phases
143,69,2,2024-09-09,2025-09-08,12,30,none,none,2068961.21,0.0,enterprise,400847.28,,,0.0,4.17,3.53,false,6,Custom onboarding and SLA language applied for rollout phases
144,69,3,2025-09-09,2026-09-08,12,90,none,none,2140340.69,0.0,enterprise,414676.57,,,0.0,7.02,3.49,false,3,Custom onboarding and SLA language applied for rollout phases
145,70,1,2024-04-04,2025-04-03,12,30,none,none,314591.42,41456.51,enterprise,59930.25,,,4.59,7.32,0.0,false,3,
146,70,2,2025-04-04,2026-04-03,12,60,none,none,322896.63,0.0,enterprise,61512.41,,,0.0,5.34,2.64,false,6,Custom onboarding and SLA language applied for rollout phases
147,71,1,2024-09-01,2025-08-31,12,30,none,none,770032.65,79001.2,enterprise,143739.43,,,0.0,6.53,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
148,72,1,2024-02-27,2025-02-26,12,30,none,none,1936576.94,427328.1,premium,273476.81,,,22.88,7.07,0.0,true,6,Custom onboarding and SLA language applied for rollout phases
149,72,2,2025-02-27,2026-02-26,12,30,none,none,2030694.58,0.0,premium,286767.78,,,0.0,6.87,4.86,false,0,Custom onboarding and SLA language applied for rollout phases
150,72,3,2026-02-27,2027-02-26,12,90,none,none,2043757.35,0.0,premium,288612.46,,,0.0,4.88,2.73,false,0,
151,72,4,2027-02-27,2028-02-26,12,45,none,none,2115533.62,0.0,premium,298748.46,,,0.0,6.0,2.99,false,3,Custom onboarding and SLA language applied for rollout phases
152,72,5,2028-02-27,2029-02-26,12,45,none,none,2218833.18,0.0,premium,313336.08,,,0.0,6.82,3.46,false,0,Custom onboarding and SLA language applied for rollout phases
153,73,1,2023-10-30,2024-10-29,12,30,none,none,1440569.13,139483.75,premium,195949.8,,,0.0,6.28,0.0,false,0,
154,74,1,2024-03-22,2025-03-21,12,60,tiered_overage,hard_commit,35203.54,4892.67,standard,2827.48,0.01079,379324,0.0,4.32,0.0,false,3,Custom onboarding and SLA language applied for rollout phases
155,75,1,2025-05-21,2026-05-20,12,30,none,none,35989.96,2356.55,standard,2929.9,,,0.0,6.67,0.0,false,0,
156,76,1,2025-06-28,2026-06-27,12,30,none,none,24235.81,1982.81,premium,3163.52,,,0.0,7.35,0.0,false,3,
157,77,1,2026-02-03,2027-02-02,12,30,none,soft_commit,27783.67,6612.67,standard,2273.75,0.01282,286239,0.0,4.84,0.0,false,0,
158,78,1,2025-03-23,2026-03-22,12,90,none,none,41709.94,2669.05,standard,3551.72,,,18.3,3.87,0.0,false,6,Custom onboarding and SLA language applied for rollout phases
159,78,2,2026-03-23,2027-03-22,12,45,none,none,43970.62,0.0,standard,3744.22,,,0.0,3.73,5.42,false,0,Custom onboarding and SLA language applied for rollout phases
160,78,3,2027-03-23,2028-03-22,12,30,none,none,45557.02,0.0,standard,3879.31,,,0.0,4.96,4.51,false,6,Custom onboarding and SLA language applied for rollout phases
161,78,4,2028-03-23,2029-03-22,12,60,none,none,48381.1,0.0,standard,4119.79,,,0.0,3.62,5.07,false,0,Custom onboarding and SLA language applied for rollout phases
162,79,1,2025-07-12,2026-07-11,12,30,none,none,57518.58,8224.89,standard,4734.48,0.00978,1406675,2.51,3.34,0.0,false,0,
163,79,2,2026-07-12,2027-07-11,12,30,per_unit_overage,none,59393.69,0.0,standard,4888.82,0.0101,1462942,0.0,3.2,3.26,false,3,
