opportunity_id,opportunity_external_id,account_id,opportunity_name,stage_name,outcome,lifecycle_type,segment,sales_region,close_date,created_date,expected_start_date,contract_length_months,currency_code,estimated_users,annual_transaction_estimate,implementation_complexity,support_tier_requested,competitor_pressure_score,total_quote_amount
17,OPP-00017,7,Bluewave Trade Group Renewal,Closed Won,won,renewal,smb,emea,2025-01-27,2024-11-07,2025-03-25,12,USD,75,233849,low,premium,0.14,22103.26
18,OPP-00018,8,Ironwood Global Freight Expansion,Closed Lost,lost,expansion,strategic,emea,2024-06-20,2024-05-15,,60,USD,20555,21870756,high,enterprise,0.64,17090962.9
19,OPP-00019,8,Ironwood Global Freight Renewal,Closed Won,won,renewal,strategic,emea,2024-12-31,2024-12-02,2025-02-16,36,USD,13207,16922510,high,premium,0.71,4989608.96
20,OPP-00020,8,Ironwood Global Freight Expansion,Closed Lost,lost,expansion,strategic,emea,2025-11-06,2025-08-24,,48,USD,16876,,high,premium,0.77,11287759.23
21,OPP-00021,8,Ironwood Global Freight Renewal,Closed Won,won,renewal,strategic,emea,2025-02-02,2024-12-01,2025-03-26,24,USD,14339,9890425,medium,enterprise,0.58,2706578.66
22,OPP-00022,8,Ironwood Global Freight Expansion,Closed Won,won,expansion,strategic,emea,2024-07-26,2024-05-03,2024-08-28,36,USD,8172,9296587,high,enterprise,0.35,3780327.86
23,OPP-00023,9,Crescent Industrial Net New,Closed Lost,lost,net_new,smb,apac,2023-09-15,2023-05-05,2023-10-04,12,USD,40,361062,low,premium,0.62,27710.6
24,OPP-00024,10,Pioneer Logistics Net New,Closed Won,won,net_new,strategic,latam,2024-11-20,2024-05-19,2025-01-22,36,USD,13481,19920105,high,premium,0.32,7061474.69
25,OPP-00025,10,Pioneer Logistics Net New,Closed Lost,lost,net_new,strategic,latam,2025-09-25,2025-07-05,2025-11-29,36,USD,8380,13818475,high,enterprise,0.67,4912970.73
26,OPP-00026,10,Pioneer Logistics Net New,Closed Lost,lost,net_new,strategic,latam,2023-10-31,2023-07-04,2024-01-07,48,USD,11571,20384663,high,enterprise,0.31,5351944.23
27,OPP-00027,10,Pioneer Logistics Net New,Closed Lost,lost,net_new,strategic,latam,2024-05-02,2024-01-11,2024-06-08,,USD,12343,18517419,high,premium,0.44,1706333.29
28,OPP-00028,11,Vector Supply Co Expansion,Closed Won,won,expansion,smb,na,2023-09-23,2023-08-19,2023-11-02,24,USD,175,131100,low,standard,0.6,51634.1
29,OPP-00029,11,Vector Supply Co Renewal,Closed Won,won,renewal,smb,na,2024-01-10,2023-11-17,2024-03-16,12,USD,55,93413,low,standard,0.38,45326.99
30,OPP-00030,11,Vector Supply Co Net New,Closed Lost,lost,net_new,smb,na,2023-12-20,2023-09-08,,,USD,65,85565,low,standard,0.25,21652.9
31,OPP-00031,12,Northstar Commerce Partners Net New,Closed Lost,lost,net_new,mid_market,apac,2024-07-11,2024-01-20,,,USD,194,950836,medium,standard,0.43,
32,OPP-00032,12,Northstar Commerce Partners Net New,Closed Lost,lost,net_new,mid_market,apac,2025-05-25,2024-12-10,2025-07-19,24,USD,171,630262,medium,standard,0.5,
33,OPP-00033,13,Harbor Operations Renewal,Closed Won,won,renewal,enterprise,apac,2025-10-15,2025-08-23,2025-12-20,12,USD,1722,7963559,medium,premium,0.49,364672.33
34,OPP-00034,13,Harbor Operations Renewal,Closed Won,won,renewal,enterprise,apac,2023-08-28,2023-07-16,2023-10-29,48,USD,4540,2523361,medium,premium,0.64,2871868.0
35,OPP-00035,13,Harbor Operations Renewal,Closed Won,won,renewal,enterprise,apac,2025-03-10,2025-01-07,2025-04-16,24,USD,2879,7761790,medium,enterprise,0.23,667854.26
36,OPP-00036,14,Atlas Distribution Renewal,Closed Won,won,renewal,enterprise,na,2023-02-15,2023-01-09,2023-03-19,24,USD,3509,3930104,medium,premium,0.24,1326269.84
37,OPP-00037,14,Atlas Distribution Net New,Closed Lost,lost,net_new,enterprise,na,2024-07-28,2024-04-01,,24,USD,1626,,high,premium,0.45,418274.61
38,OPP-00038,14,Atlas Distribution Renewal,Closed Won,won,renewal,enterprise,na,2023-10-22,2023-08-05,2023-11-28,12,USD,1166,6793687,high,premium,0.44,333541.48
39,OPP-00039,14,Atlas Distribution Renewal,Closed Won,won,renewal,enterprise,na,2023-04-03,2023-02-24,2023-05-13,36,USD,1616,7180010,medium,premium,0.62,705944.18
40,OPP-00040,15,Summit Cargo Systems Renewal,Closed Won,won,renewal,mid_market,apac,2024-04-01,2024-03-12,2024-05-07,12,USD,735,261683,medium,standard,0.34,94210.0
41,OPP-00041,15,Summit Cargo Systems Expansion,Closed Lost,lost,expansion,mid_market,apac,2024-03-09,2023-11-26,2024-04-20,36,USD,557,394223,medium,standard,0.41,210396.29
42,OPP-00042,15,Summit Cargo Systems Renewal,Closed Won,won,renewal,mid_market,apac,2025-11-27,2025-10-28,2026-02-03,12,USD,554,1682443,low,standard,0.36,51212.46
43,OPP-00043,16,Granite Retail Holdings Net New,Closed Lost,lost,net_new,enterprise,emea,2023-03-18,2022-12-04,2023-04-06,24,USD,,7426165,high,premium,0.51,1392175.8
44,OPP-00044,16,Granite Retail Holdings Expansion,Closed Lost,lost,expansion,enterprise,emea,2023-05-28,2023-02-01,2023-06-26,36,USD,6988,5670230,high,premium,0.34,2263134.1
45,OPP-00045,16,Granite Retail Holdings Net New,Closed Won,won,net_new,enterprise,emea,2023-09-30,2023-08-14,2023-10-29,12,USD,4099,2630252,high,premium,0.72,501837.44
46,OPP-00046,17,Meridian Trade Group Net New,Closed Lost,lost,net_new,enterprise,na,2023-09-23,2023-06-28,,,USD,5807,4754709,high,enterprise,0.69,688547.13
47,OPP-00047,17,Meridian Trade Group Net New,Closed Won,won,net_new,enterprise,na,2023-12-12,2023-05-19,2024-01-26,24,USD,1220,5085768,high,standard,0.34,439944.03
48,OPP-00048,17,Meridian Trade Group Net New,Closed Lost,lost,net_new,enterprise,na,2023-09-13,2023-07-12,2023-11-04,36,USD,6498,2166837,high,premium,0.58,2245835.11
49,OPP-00049,18,Apex Global Freight Net New,Closed Lost,lost,net_new,mid_market,emea,2025-01-15,2024-09-05,2025-03-02,,USD,781,1490848,medium,premium,0.54,
50,OPP-00050,18,Apex Global Freight Net New,Closed Lost,lost,net_new,mid_market,emea,2025-09-04,2025-04-26,2025-10-14,36,USD,741,1229879,medium,premium,0.6,286364.28
51,OPP-00051,19,Bluewave Industrial Net New,Closed Lost,lost,net_new,enterprise,na,2024-04-06,2024-02-02,2024-05-04,24,USD,4012,1932449,high,standard,0.34,1407169.09
52,OPP-00052,19,Bluewave Industrial Net New,Closed Lost,lost,net_new,enterprise,na,2023-12-29,2023-08-06,,24,USD,4334,1208148,high,premium,0.36,
53,OPP-00053,19,Bluewave Industrial Net New,Closed Lost,lost,net_new,enterprise,na,2023-07-12,2023-03-15,2023-09-03,24,USD,6458,7401845,high,premium,0.7,1401740.74
54,OPP-00054,20,Ironwood Logistics Expansion,Closed Lost,lost,expansion,smb,na,2023-03-20,2022-11-27,,12,USD,66,,low,standard,0.28,
55,OPP-00055,20,Ironwood Logistics Net New,Closed Lost,lost,net_new,smb,na,2024-11-02,2024-09-14,,24,USD,143,128471,low,standard,0.46,
56,OPP-00056,21,Crescent Supply Co Net New,Closed Lost,lost,net_new,mid_market,na,2023-01-02,2022-10-02,2023-03-13,24,USD,482,957690,medium,premium,0.46,174433.31
57,OPP-00057,22,Pioneer Commerce Partners Renewal,Closed Won,won,renewal,mid_market,na,2025-06-14,2025-04-16,2025-08-24,24,USD,400,1717081,medium,premium,0.46,145223.18
58,OPP-00058,22,Pioneer Commerce Partners Expansion,Closed Won,won,expansion,mid_market,na,2023-03-25,2023-01-18,2023-04-12,24,USD,761,2165813,medium,standard,0.49,288345.62
59,OPP-00059,22,Pioneer Commerce Partners Expansion,Closed Lost,lost,expansion,mid_market,na,2024-01-31,2023-10-25,2024-03-23,,USD,309,930765,medium,standard,0.39,86519.26
60,OPP-00060,23,Vector Operations Renewal,Closed Lost,lost,renewal,mid_market,na,2024-04-04,2024-02-07,,12,USD,,284767,medium,standard,0.15,66514.11
61,OPP-00061,23,Vector Operations Expansion,Closed Lost,lost,expansion,mid_market,na,2025-04-10,2025-02-27,2025-05-02,24,USD,281,,medium,premium,0.35,209070.46
62,OPP-00062,23,Vector Operations Renewal,Closed Won,won,renewal,mid_market,na,2024-10-26,2024-08-17,2024-12-02,24,USD,453,592771,low,premium,0.1,153979.08
63,OPP-00063,24,Northstar Distribution Renewal,Closed Won,won,renewal,smb,emea,2025-08-18,2025-06-02,2025-09-22,12,USD,59,334293,low,standard,0.21,25024.13
64,OPP-00064,24,Northstar Distribution Expansion,Closed Lost,lost,expansion,smb,emea,2025-05-26,2025-04-13,,36,USD,148,,low,standard,0.61,
65,OPP-00065,25,Harbor Cargo Systems Net New,Closed Lost,lost,net_new,smb,apac,2023-03-27,2022-11-08,2023-04-11,12,USD,73,374168,low,standard,0.4,
66,OPP-00066,26,Atlas Retail Holdings Net New,Closed Lost,lost,net_new,enterprise,latam,2024-12-17,2024-06-28,2025-02-24,36,USD,1565,,high,enterprise,0.52,1256911.83
67,OPP-00067,26,Atlas Retail Holdings Net New,Closed Lost,lost,net_new,enterprise,latam,2024-05-24,2024-04-04,,24,USD,2059,2789409,high,premium,0.89,488303.43
68,OPP-00068,26,Atlas Retail Holdings Net New,Closed Lost,lost,net_new,enterprise,latam,2025-11-21,2025-07-27,2025-12-23,,USD,3417,3358840,high,standard,0.82,499009.58
69,OPP-00069,26,Atlas Retail Holdings Net New,Closed Won,won,net_new,enterprise,latam,2023-10-03,2023-08-15,2023-12-06,36,USD,3022,2382767,high,enterprise,0.72,1592627.28
70,OPP-00070,27,Summit Trade Group Expansion,Closed Lost,lost,expansion,strategic,apac,2024-10-18,2024-08-01,2024-11-16,36,USD,,18932126,high,enterprise,0.7,4193465.53
71,OPP-00071,27,Summit Trade Group Renewal,Closed Won,won,renewal,strategic,apac,2024-05-31,2024-03-25,2024-07-01,48,USD,17416,17416611,high,premium,0.58,7293023.74
72,OPP-00072,27,Summit Trade Group Renewal,Closed Won,won,renewal,strategic,apac,2025-04-19,2025-03-23,2025-05-20,36,USD,8399,18330093,high,enterprise,0.4,3091757.42
73,OPP-00073,27,Summit Trade Group Expansion,Closed Lost,lost,expansion,strategic,apac,2023-09-02,2023-05-13,,12,USD,19444,14852678,high,enterprise,0.86,2480853.8
74,OPP-00074,28,Granite Global Freight Net New,Closed Lost,lost,net_new,mid_market,na,2023-02-27,2022-12-03,2023-03-21,12,USD,238,1142608,medium,standard,0.47,
75,OPP-00075,28,Granite Global Freight Net New,Closed Won,won,net_new,mid_market,na,2023-03-18,2022-09-29,2023-05-15,12,USD,198,1327319,medium,premium,0.46,49658.76
76,OPP-00076,29,Meridian Industrial Expansion,Closed Won,won,expansion,enterprise,na,2025-07-31,2025-06-10,2025-09-10,24,USD,6806,3263781,high,enterprise,0.56,1639319.35
77,OPP-00077,29,Meridian Industrial Net New,Closed Lost,lost,net_new,enterprise,na,2025-04-08,2024-11-21,2025-06-21,24,USD,2707,7961449,high,standard,0.38,1009834.03
78,OPP-00078,29,Meridian Industrial Net New,Closed Lost,lost,net_new,enterprise,na,2023-08-01,2023-06-13,,36,USD,3302,3704000,high,premium,0.32,770778.99
79,OPP-00079,30,Apex Logistics Expansion,Closed Lost,lost,expansion,strategic,latam,2023-06-28,2023-05-03,2023-08-11,24,USD,18219,21312293,high,enterprise,0.81,4017383.82
80,OPP-00080,30,Apex Logistics Net New,Closed Lost,lost,net_new,strategic,latam,2023-10-06,2023-08-05,2023-12-02,36,USD,7410,23776536,high,enterprise,0.73,2587955.09
81,OPP-00081,30,Apex Logistics Net New,Closed Lost,lost,net_new,strategic,latam,2025-07-08,2025-03-07,2025-09-07,24,USD,17315,15190960,high,enterprise,0.33,4449043.14
82,OPP-00082,31,Bluewave Supply Co Expansion,Closed Lost,lost,expansion,strategic,emea,2025-06-05,2025-04-17,,24,USD,19030,20644634,high,enterprise,0.59,4703009.7
83,OPP-00083,31,Bluewave Supply Co Expansion,Closed Lost,lost,expansion,strategic,emea,2025-06-09,2025-01-30,2025-08-11,48,USD,12701,20839938,high,enterprise,0.64,6483709.47
84,OPP-00084,31,Bluewave Supply Co Renewal,Closed Won,won,renewal,strategic,emea,2023-10-15,2023-08-24,2023-11-16,36,USD,14418,18138772,high,enterprise,0.6,5225820.46
85,OPP-00085,31,Bluewave Supply Co Renewal,Closed Won,won,renewal,strategic,emea,2024-11-26,2024-09-09,2025-01-11,36,USD,10488,5783839,high,premium,0.44,3275321.31
86,OPP-00086,32,Ironwood Commerce Partners Net New,Closed Lost,lost,net_new,mid_market,emea,2023-05-02,2023-02-21,,12,USD,697,,medium,enterprise,0.45,132265.43
87,OPP-00087,32,Ironwood Commerce Partners Renewal,Closed Won,won,renewal,mid_market,emea,2023-10-01,2023-07-24,2023-11-03,12,USD,728,1819125,medium,standard,0.37,106475.16
88,OPP-00088,32,Ironwood Commerce Partners Renewal,Closed Won,won,renewal,mid_market,emea,2024-05-25,2024-03-19,2024-08-01,36,USD,457,1166715,low,standard,0.35,266751.45
89,OPP-00089,33,Crescent Operations Net New,Closed Lost,lost,net_new,smb,apac,2025-02-04,2024-12-17,2025-04-14,36,USD,91,219862,low,premium,0.14,85413.43
90,OPP-00090,34,Pioneer Distribution Net New,Closed Lost,lost,net_new,smb,apac,2025-03-08,2024-10-09,2025-03-28,12,USD,60,328204,low,premium,0.28,22533.87
91,OPP-00091,34,Pioneer Distribution Renewal,Closed Won,won,renewal,smb,apac,2025-12-05,2025-09-20,2026-02-17,12,USD,61,150383,low,standard,0.3,42560.51
92,OPP-00092,35,Vector Cargo Systems Net New,Closed Lost,lost,net_new,mid_market,apac,2024-01-17,2023-11-16,,,USD,625,1628440,medium,premium,0.62,135949.57
93,OPP-00093,35,Vector Cargo Systems Net New,Closed Won,won,net_new,mid_market,apac,2023-03-27,2022-10-11,2023-05-31,12,USD,757,760859,medium,premium,0.22,130929.1
94,OPP-00094,35,Vector Cargo Systems Net New,Closed Lost,lost,net_new,mid_market,apac,2024-02-20,2023-09-08,2024-03-18,12,USD,726,1118146,medium,premium,0.58,122910.52
95,OPP-00095,36,Northstar Retail Holdings Expansion,Closed Lost,lost,expansion,enterprise,emea,2024-08-16,2024-05-26,2024-10-20,36,USD,7079,5640627,high,premium,0.68,3213653.79
96,OPP-00096,36,Northstar Retail Holdings Net New,Closed Lost,lost,net_new,enterprise,emea,2023-11-12,2023-05-30,2023-12-10,48,USD,2869,3410554,high,enterprise,0.72,
97,OPP-00097,36,Northstar Retail Holdings Renewal,Closed Won,won,renewal,enterprise,emea,2023-06-22,2023-05-25,2023-08-02,24,USD,1029,2261189,medium,enterprise,0.62,370959.64
98,OPP-00098,36,Northstar Retail Holdings Renewal,Closed Won,won,renewal,enterprise,emea,2025-10-31,2025-08-23,2026-01-04,12,USD,4224,5477035,medium,premium,0.63,433791.1
99,OPP-00099,37,Harbor Trade Group Expansion,Closed Won,won,expansion,enterprise,apac,2024-09-03,2024-05-28,2024-09-18,24,USD,5855,9616264,medium,premium,0.55,1498063.07
100,OPP-00100,37,Harbor Trade Group Renewal,Closed Won,won,renewal,enterprise,apac,2023-10-16,2023-09-16,2023-11-24,24,USD,1189,6635341,high,premium,0.24,658112.36
101,OPP-00101,37,Harbor Trade Group Net New,Closed Lost,lost,net_new,enterprise,apac,2025-02-10,2024-11-11,2025-03-10,36,USD,4071,5738032,high,premium,0.77,
102,OPP-00102,37,Harbor Trade Group Expansion,Closed Lost,lost,expansion,enterprise,apac,2023-07-14,2023-06-02,2023-09-27,12,USD,,4187524,high,enterprise,0.64,630850.11
103,OPP-00103,38,Atlas Global Freight Expansion,Closed Won,won,expansion,smb,latam,2023-07-03,2023-03-19,2023-08-01,12,USD,33,305497,low,premium,0.35,19607.06
104,OPP-00104,38,Atlas Global Freight Net New,Closed Lost,lost,net_new,smb,latam,2023-11-06,2023-06-01,,36,USD,53,230202,medium,standard,0.24,
105,OPP-00105,39,Summit Industrial Net New,Closed Lost,lost,net_new,smb,na,2025-02-28,2024-10-09,2025-05-12,,USD,45,346091,low,standard,0.23,26457.52
106,OPP-00106,39,Summit Industrial Expansion,Closed Lost,lost,expansion,smb,na,2025-07-25,2025-05-24,,12,USD,79,,medium,standard,0.18,56337.46
107,OPP-00107,39,Summit Industrial Expansion,Closed Won,won,expansion,smb,na,2023-05-06,2023-01-23,2023-05-28,48,USD,27,313493,low,standard,0.45,91191.19
108,OPP-00108,40,Granite Logistics Renewal,Closed Won,won,renewal,strategic,na,2023-12-26,2023-10-04,2024-01-16,36,USD,9692,10119505,high,standard,0.22,3080414.45
109,OPP-00109,40,Granite Logistics Renewal,Closed Won,won,renewal,strategic,na,2023-11-28,2023-10-17,2023-12-22,36,USD,16383,11482564,high,enterprise,0.28,6559916.76
110,OPP-00110,40,Granite Logistics Expansion,Closed Lost,lost,expansion,strategic,na,2023-04-04,2023-01-03,2023-05-02,24,USD,12767,31086204,high,premium,0.61,4359060.55
111,OPP-00111,40,Granite Logistics Renewal,Closed Won,won,renewal,strategic,na,2024-06-02,2024-05-04,2024-06-25,24,USD,18831,14268764,high,enterprise,0.36,3784689.14
112,OPP-00112,41,Meridian Supply Co Renewal,Closed Won,won,renewal,smb,apac,2024-04-22,2024-03-23,2024-06-24,12,USD,50,146678,low,standard,0.0,30337.33
113,OPP-00113,41,Meridian Supply Co Renewal,Closed Won,won,renewal,smb,apac,2023-08-04,2023-06-22,2023-08-24,24,USD,20,96235,low,standard,0.2,62102.34
114,OPP-00114,41,Meridian Supply Co Net New,Closed Lost,lost,net_new,smb,apac,2024-11-08,2024-09-20,2025-01-11,12,USD,118,308266,medium,standard,0.05,64372.72
115,OPP-00115,42,Apex Commerce Partners Net New,Closed Lost,lost,net_new,smb,latam,2025-03-09,2024-12-25,,12,USD,114,,medium,enterprise,0.11,82424.7
116,OPP-00116,43,Bluewave Operations Expansion,Closed Won,won,expansion,smb,latam,2023-05-15,2023-01-25,2023-07-19,24,USD,50,387582,low,premium,0.38,67276.76
117,OPP-00117,43,Bluewave Operations Net New,Closed Lost,lost,net_new,smb,latam,2024-11-07,2024-05-26,2024-12-19,,USD,47,144014,low,premium,0.11,29712.12
118,OPP-00118,44,Ironwood Distribution Net New,Closed Lost,lost,net_new,strategic,na,2023-07-03,2022-12-16,2023-08-29,36,USD,12810,8032562,high,premium,0.57,
119,OPP-00119,44,Ironwood Distribution Expansion,Closed Lost,lost,expansion,strategic,na,2024-01-17,2023-09-28,,,USD,12131,15794184,high,premium,0.7,1486087.19
120,OPP-00120,44,Ironwood Distribution Renewal,Closed Won,won,renewal,strategic,na,2023-09-09,2023-07-09,2023-09-24,36,USD,6433,15586891,medium,enterprise,0.5,1956533.95
121,OPP-00121,44,Ironwood Distribution Expansion,Closed Won,won,expansion,strategic,na,2023-07-08,2023-04-01,2023-08-22,60,USD,15322,28597462,high,premium,0.45,11143915.87
122,OPP-00122,45,Crescent Cargo Systems Renewal,Closed Won,won,renewal,enterprise,na,2023-06-20,2023-03-29,2023-07-22,24,USD,3214,5949655,medium,enterprise,0.32,747969.56
123,OPP-00123,45,Crescent Cargo Systems Expansion,Closed Won,won,expansion,enterprise,na,2024-09-17,2024-06-30,2024-10-15,24,USD,3735,2606865,high,enterprise,0.61,1125893.56
124,OPP-00124,45,Crescent Cargo Systems Renewal,Closed Won,won,renewal,enterprise,na,2023-05-16,2023-04-18,2023-07-12,36,USD,2335,6238720,medium,premium,0.41,1072198.37
125,OPP-00125,46,Pioneer Retail Holdings Net New,Closed Lost,lost,net_new,mid_market,na,2023-11-02,2023-05-19,2023-11-20,60,USD,801,733667,medium,premium,0.44,502406.14
126,OPP-00126,46,Pioneer Retail Holdings Net New,Closed Lost,lost,net_new,mid_market,na,2025-08-07,2025-04-03,2025-10-04,48,USD,893,683131,medium,premium,0.26,492098.28
127,OPP-00127,46,Pioneer Retail Holdings Net New,Closed Lost,lost,net_new,mid_market,na,2025-02-10,2024-08-30,2025-03-05,24,USD,816,1028175,medium,enterprise,0.48,146883.08
128,OPP-00128,47,Vector Trade Group Expansion,Closed Lost,lost,expansion,enterprise,apac,2023-02-13,2022-12-17,2023-03-24,48,USD,4835,2385133,high,premium,0.57,1652121.09
129,OPP-00129,47,Vector Trade Group Net New,Closed Lost,lost,net_new,enterprise,apac,2025-05-16,2024-12-11,2025-07-29,12,USD,4577,6825262,high,enterprise,0.57,
130,OPP-00130,47,Vector Trade Group Expansion,Closed Lost,lost,expansion,enterprise,apac,2024-04-11,2024-03-03,2024-05-14,,USD,7808,2154503,medium,premium,0.45,871599.96
131,OPP-00131,47,Vector Trade Group Renewal,Closed Lost,lost,renewal,enterprise,apac,2024-11-25,2024-10-12,2024-12-29,12,USD,4326,6307834,high,premium,0.73,
132,OPP-00132,48,Northstar Global Freight Net New,Closed Lost,lost,net_new,smb,na,2025-02-03,2024-11-04,2025-04-01,12,USD,94,71483,low,standard,0.52,32446.16
133,OPP-00133,49,Harbor Industrial Net New,Closed Won,won,net_new,smb,emea,2023-05-22,2023-03-15,2023-07-29,24,USD,141,302619,low,standard,0.28,85554.96
134,OPP-00134,49,Harbor Industrial Net New,Closed Lost,lost,net_new,smb,emea,2025-09-08,2025-02-24,2025-11-14,24,USD,,250858,low,standard,0.63,
135,OPP-00135,50,Atlas Logistics Net New,Closed Lost,lost,net_new,strategic,apac,2025-01-26,2024-08-11,2025-04-03,24,USD,12985,13871469,high,enterprise,0.51,3527797.01
136,OPP-00136,50,Atlas Logistics Expansion,Closed Won,won,expansion,strategic,apac,2024-04-12,2023-12-02,2024-05-07,36,USD,13633,13897156,high,premium,0.45,7214360.23
137,OPP-00137,50,Atlas Logistics Renewal,Closed Won,won,renewal,strategic,apac,2024-11-14,2024-08-22,2024-12-01,24,USD,18789,11748826,high,premium,0.7,5008972.11
138,OPP-00138,50,Atlas Logistics Net New,Closed Lost,lost,net_new,strategic,apac,2025-02-14,2024-09-20,2025-03-12,48,USD,14730,22095033,high,premium,0.33,8339023.17
139,OPP-00139,51,Summit Supply Co Expansion,Closed Lost,lost,expansion,smb,na,2024-04-25,2023-12-12,2024-05-16,12,USD,45,82007,low,premium,0.41,27836.6
140,OPP-00140,52,Granite Commerce Partners Net New,Closed Lost,lost,net_new,smb,apac,2023-02-17,2022-08-04,2023-03-06,12,USD,59,,low,standard,0.22,41787.29
141,OPP-00141,52,Granite Commerce Partners Renewal,Closed Won,won,renewal,smb,apac,2025-07-16,2025-06-18,2025-09-28,36,USD,134,247585,low,standard,0.21,101074.17
142,OPP-00142,52,Granite Commerce Partners Net New,Closed Lost,lost,net_new,smb,apac,2025-07-31,2025-03-20,2025-10-13,12,USD,130,342347,medium,standard,0.11,59796.47
143,OPP-00143,53,Meridian Operations Net New,Closed Lost,lost,net_new,strategic,emea,2025-12-16,2025-09-21,2026-01-09,,USD,8101,15863153,high,standard,0.35,1059174.0
144,OPP-00144,53,Meridian Operations Net New,Closed Lost,lost,net_new,strategic,emea,2025-03-25,2024-12-12,2025-05-21,24,USD,15473,18983966,high,premium,0.52,4719093.71
145,OPP-00145,53,Meridian Operations Renewal,Closed Lost,lost,renewal,strategic,emea,2023-01-06,2022-11-18,,24,USD,17762,20658734,high,enterprise,0.62,
146,OPP-00146,53,Meridian Operations Net New,Closed Lost,lost,net_new,strategic,emea,2023-07-01,2023-03-02,,36,USD,12492,12147477,high,enterprise,0.3,6552942.7
147,OPP-00147,54,Apex Distribution Net New,Closed Lost,lost,net_new,smb,na,2024-03-31,2023-12-14,2024-05-17,,USD,23,282325,low,standard,0.58,23243.33
148,OPP-00148,54,Apex Distribution Net New,Closed Lost,lost,net_new,smb,na,2023-02-19,2022-12-05,2023-03-19,12,USD,144,320107,low,premium,0.55,45749.94
149,OPP-00149,55,Bluewave Cargo Systems Renewal,Closed Won,won,renewal,mid_market,apac,2023-05-29,2023-03-28,2023-07-24,24,USD,348,648450,medium,standard,0.03,168088.66
150,OPP-00150,55,Bluewave Cargo Systems Expansion,Closed Lost,lost,expansion,mid_market,apac,2025-03-15,2025-02-04,2025-05-26,,USD,217,1383416,medium,premium,0.49,47361.36
151,OPP-00151,56,Ironwood Retail Holdings Net New,Closed Lost,lost,net_new,strategic,na,2024-08-18,2024-02-19,,48,USD,13301,11696068,high,enterprise,0.52,5908630.74
152,OPP-00152,56,Ironwood Retail Holdings Net New,Closed Lost,lost,net_new,strategic,na,2023-12-10,2023-09-13,2024-02-06,60,USD,13204,,high,enterprise,0.36,10926881.06
