price_snapshot_id,opportunity_id,snapshot_version,snapshot_date,pricing_stage,total_contract_value,annual_subscription_fee,implementation_fee,support_fee,transaction_fee_per_unit,discount_pct,contract_length_months,pricing_notes
81,36,3,2023-02-01,approval,1361597.3,583534.81,38093.98,78216.85,,11.87,24,commercial review in progress
82,36,4,2023-02-11,final,1326269.84,567562.45,37905.72,76619.61,,14.28,24,
83,37,1,2024-05-26,initial,,136637.67,79412.17,18736.55,,19.19,24,
84,37,2,2024-07-24,negotiation,418274.61,133042.28,79060.98,18377.01,0.00899,21.32,24,
85,38,1,2023-08-27,initial,344091.58,226740.18,32525.69,30458.23,0.01002,12.62,12,
86,38,2,2023-09-22,negotiation,338534.71,222382.29,32413.61,30022.44,0.0099,14.29,12,
87,38,3,2023-10-18,approval,333541.48,218476.9,32313.16,29631.9,0.00979,15.8,12,
88,39,1,2023-03-01,initial,761533.79,218964.79,17174.99,29154.81,,9.5,36,
89,39,2,2023-03-11,negotiation,753666.8,216591.26,17140.64,28917.46,,10.48,36,
90,39,3,2023-03-20,approval,719888.5,206400.11,16993.15,27898.34,,14.69,36,commercial review in progress
91,39,4,2023-03-30,final,705944.18,202193.01,16932.26,27477.63,,16.43,36,
92,40,1,2024-03-15,initial,100158.91,83852.7,9526.57,6779.64,,4.41,12,
93,40,2,2024-03-18,negotiation,97724.23,81605.54,9477.33,6641.36,,6.97,12,
94,40,3,2024-03-23,approval,95567.68,79615.1,9433.71,6518.87,,9.24,12,
95,40,4,2024-03-28,final,94210.0,78362.0,9406.25,6441.75,,10.67,12,
96,41,1,2024-03-05,initial,210396.29,55678.53,17682.15,4701.69,0.01024,19.4,,
97,42,1,2025-10-31,initial,53996.95,47508.79,2667.48,3820.68,,2.23,12,
98,42,2,2025-11-08,negotiation,53739.51,47268.76,2664.84,3805.91,,2.72,12,commercial review in progress
99,42,3,2025-11-15,approval,52557.36,46166.6,2652.68,3738.08,,4.99,12,commercial review in progress
100,42,4,2025-11-23,final,51212.46,44912.69,2638.85,3660.92,,7.57,12,
101,43,1,2023-01-03,initial,1438665.6,504382.76,176095.55,67774.77,,12.72,,
102,43,2,2023-02-07,negotiation,1419413.48,,175596.63,66976.95,0.00877,14.1,24,
103,43,3,2023-03-14,approval,1392175.8,,174891.75,,0.00864,16.05,24,
104,44,1,2023-03-27,initial,2295761.21,630363.45,147256.1,85804.92,,16.94,36,
105,44,2,2023-05-24,negotiation,2263134.1,620595.34,,84828.11,,18.23,36,
106,45,1,2023-08-21,initial,541432.13,343587.74,129347.22,45531.5,0.00939,7.74,12,commercial review in progress
107,45,2,2023-09-02,negotiation,521635.11,327281.16,128196.71,43900.84,0.0091,12.12,12,
108,45,3,2023-09-14,approval,513654.12,320713.76,127733.35,43244.1,0.00898,13.88,12,
109,45,4,2023-09-26,final,501837.44,310974.03,127046.16,42270.12,0.00881,16.5,12,
110,46,1,2023-09-19,initial,688547.13,432639.63,171926.4,,,25.36,,commercial review in progress
111,47,1,2023-07-05,initial,459210.08,139171.87,78463.74,11538.03,0.0085,13.6,24,
112,47,2,2023-08-26,negotiation,461663.49,140107.49,78557.45,11595.61,0.00854,13.01,24,
113,47,3,2023-10-17,approval,446321.52,134172.21,77963.02,11230.36,0.00831,16.7,24,
114,47,4,2023-12-08,final,439944.03,131723.41,77717.77,11079.67,0.00821,18.22,24,
115,48,1,2023-09-09,initial,2245835.11,581955.76,,,0.01017,19.28,36,
116,50,1,2025-06-26,initial,,,30076.69,10507.4,,20.62,36,
117,50,2,2025-08-31,negotiation,286364.28,75066.41,29999.13,10388.64,,21.86,36,
118,51,1,2024-04-02,initial,1407169.09,557444.22,,,,18.44,,
119,53,1,2023-05-09,initial,1435544.5,542924.33,199473.16,75111.34,,21.76,24,commercial review in progress
120,53,2,2023-07-08,negotiation,1401740.74,527967.6,198574.2,,,23.92,24,
121,56,1,2022-12-29,initial,174433.31,59144.21,26426.44,8037.84,0.00862,16.44,,
122,57,1,2025-04-26,initial,157892.09,66039.15,8544.07,8634.86,,2.45,24,
123,57,2,2025-05-11,negotiation,153984.57,64283.25,8499.53,8459.27,,5.04,24,commercial review in progress
124,57,3,2025-05-26,approval,149536.02,62284.23,8448.82,8259.37,,8.0,24,commercial review in progress
125,57,4,2025-06-10,final,145223.18,60346.19,8399.66,8065.57,,10.86,24,
126,58,1,2023-01-30,initial,309178.02,114585.48,24092.49,9364.41,0.01047,8.54,24,
127,58,2,2023-02-16,negotiation,303320.28,112122.72,23996.13,9212.85,0.01032,10.51,24,commercial review in progress
128,58,3,2023-03-04,approval,294513.46,108411.02,23850.9,8984.44,0.0101,13.47,24,commercial review in progress
129,58,4,2023-03-21,final,288345.62,105804.84,23748.92,8824.06,0.00995,15.55,24,
130,59,1,2023-12-09,initial,87679.6,56440.82,,4624.12,,9.46,,
131,59,2,2024-01-27,negotiation,86519.26,55492.75,17274.45,4565.78,,10.98,,
132,60,1,2024-03-31,initial,66514.11,54151.71,7969.16,,,5.76,12,
133,61,1,2025-04-06,initial,209070.46,69419.64,18848.49,9237.33,,9.27,24,commercial review in progress
134,62,1,2024-08-30,initial,161690.43,70084.95,3298.45,9111.04,,0.0,24,
135,62,2,2024-09-17,negotiation,159574.15,69127.1,3289.43,9015.26,,1.37,24,
136,62,3,2024-10-04,approval,157032.61,67976.78,3278.61,8900.22,,3.01,24,commercial review in progress
137,62,4,2024-10-22,final,153979.08,66594.72,3265.6,8762.02,,4.98,24,
138,63,1,2025-06-17,initial,25382.0,19239.69,1834.1,1539.18,0.01037,0.0,12,commercial review in progress
139,63,2,2025-07-06,negotiation,25382.0,19239.69,1834.1,1539.18,0.01037,0.0,12,
140,63,3,2025-07-25,approval,25382.0,19239.69,1834.1,1539.18,0.01037,0.0,12,
141,63,4,2025-08-14,final,25024.13,18935.7,1828.3,1520.47,0.01026,1.58,12,
142,66,1,2024-12-13,initial,1256911.83,271615.99,,52130.84,,22.31,36,
143,67,1,2024-05-20,initial,488303.43,175046.74,90251.77,23979.09,,18.89,,
144,68,1,2025-11-17,initial,499009.58,331294.93,139308.11,28406.54,,23.73,,
145,69,1,2023-08-27,initial,1671760.91,409724.52,159849.07,78359.74,0.00798,21.31,36,
146,69,2,2023-09-12,negotiation,1633396.32,398921.82,159156.26,76863.98,0.00785,23.39,36,
147,69,3,2023-09-29,approval,1592627.28,387445.25,158420.24,75274.92,0.00771,25.59,36,
148,70,1,2024-08-23,initial,4278032.85,999538.8,227507.0,,,22.13,36,
149,70,2,2024-09-18,negotiation,4296022.86,1004457.3,,192397.24,0.00947,21.75,36,
150,70,3,2024-10-14,approval,4193465.53,976943.79,226668.95,188587.68,0.00932,23.89,36,
151,71,1,2024-04-12,initial,7729558.67,1542527.05,154626.75,211881.15,0.00912,19.7,48,
152,71,2,2024-05-04,negotiation,7463718.9,1485243.59,153666.72,206152.81,0.00891,22.68,48,
153,71,3,2024-05-27,approval,7293023.74,1448395.04,153049.16,202467.95,0.00878,24.6,48,
154,72,1,2025-03-26,initial,3413083.06,931548.06,94756.48,174560.8,,15.1,36,
155,72,2,2025-04-01,negotiation,3260216.58,887022.04,93963.48,168395.66,,19.16,36,
156,72,3,2025-04-08,approval,3191280.05,866942.62,93605.87,165615.44,,20.99,36,
157,72,4,2025-04-15,final,3091757.42,837954.27,93089.6,161601.67,,23.63,36,
158,73,1,2023-08-29,initial,2480853.8,1687437.05,,323681.79,0.00835,22.15,12,
159,75,1,2022-11-20,initial,51118.19,27127.0,20389.99,3601.2,,8.41,12,
160,75,2,2023-01-16,negotiation,50359.6,26515.26,20304.32,3540.02,,10.47,12,
161,75,3,2023-03-14,approval,49658.76,25950.08,20225.17,3483.51,,12.38,12,
162,76,1,2025-06-18,initial,1777220.92,655059.81,155588.41,124674.72,0.01017,19.91,24,
163,76,2,2025-07-01,negotiation,1734208.89,636941.07,154870.47,122165.97,0.01,22.12,24,commercial review in progress
164,76,3,2025-07-14,approval,1683943.76,615770.49,154031.61,119234.66,0.0098,24.71,24,
165,76,4,2025-07-27,final,1639319.35,596982.1,153287.15,116633.19,0.00962,27.01,24,
166,77,1,2025-04-04,initial,1009834.03,340680.46,137620.29,,0.00988,19.12,24,commercial review in progress
167,78,1,2023-07-28,initial,770778.99,197758.21,96405.36,27033.0,,18.25,,
168,79,1,2023-05-27,initial,4087313.49,1430311.01,324134.07,277690.21,0.00937,25.4,,
169,79,2,2023-06-24,negotiation,4017383.82,1401834.14,,273747.26,,26.89,24,
170,80,1,2023-09-01,initial,2617913.74,662051.67,244501.78,129085.65,,26.5,,commercial review in progress
171,80,2,2023-10-02,negotiation,2587955.09,,244007.24,127891.16,,27.46,36,commercial review in progress
172,81,1,2025-05-03,initial,4531873.22,1587165.56,,301712.86,0.00984,19.55,24,commercial review in progress
173,81,2,2025-07-04,negotiation,4449043.14,1553071.48,493557.83,296992.14,,21.28,24,commercial review in progress
174,82,1,2025-06-01,initial,4703009.7,1701760.02,357785.59,323049.15,,19.14,,commercial review in progress
175,83,1,2025-04-01,initial,6576919.01,1318015.58,292321.97,253133.68,,22.5,48,
176,83,2,2025-06-05,negotiation,6483709.47,,291590.91,,,23.69,48,
177,84,1,2023-09-06,initial,5466846.21,1363629.79,133399.85,256038.31,0.00943,15.74,36,
178,84,2,2023-09-23,negotiation,5326328.01,1325036.37,132742.96,250694.6,0.00927,18.13,36,
179,84,3,2023-10-11,approval,5225820.46,1297513.37,132274.49,246883.72,0.00915,19.83,36,
180,85,1,2024-09-24,initial,3604823.08,1027289.9,104235.43,139572.65,,16.35,36,
181,85,2,2024-10-14,negotiation,3505711.8,997415.04,103711.17,136585.17,,18.79,36,
182,85,3,2024-11-02,approval,3370217.26,956573.28,102994.45,132500.99,,22.11,36,commercial review in progress
183,85,4,2024-11-22,final,3275321.31,927969.04,102492.48,129640.57,,24.44,36,
184,86,1,2023-04-28,initial,132265.43,,30353.34,15329.17,0.0099,13.36,,
185,87,1,2023-08-06,initial,113803.65,80424.67,9255.78,6445.73,0.01013,0.79,12,commercial review in progress
186,87,2,2023-08-23,negotiation,111654.58,78684.26,9215.98,6338.63,0.00998,2.93,12,
187,87,3,2023-09-09,approval,107992.54,75709.59,9147.94,6155.57,0.00973,6.6,12,
188,87,4,2023-09-27,final,106475.16,74471.25,9119.61,6079.36,0.00963,8.13,12,
189,88,1,2024-04-06,initial,279278.65,76172.16,3599.54,6210.25,0.01035,7.65,36,commercial review in progress
190,88,2,2024-04-28,negotiation,270783.81,73693.38,3577.57,6057.71,0.01014,10.65,36,commercial review in progress
191,88,3,2024-05-21,approval,266751.45,72525.65,3567.22,5985.85,0.01003,12.07,36,
192,89,1,2024-12-29,initial,88612.13,24268.29,,3191.28,,4.76,36,commercial review in progress
193,89,2,2025-01-14,negotiation,86359.69,23595.8,6200.2,3124.03,,7.4,36,commercial review in progress
194,89,3,2025-01-31,approval,85413.43,23313.28,6186.25,3095.78,,8.51,36,
195,90,1,2024-12-19,initial,22930.25,15464.96,5419.79,2045.5,,7.03,12,
196,90,2,2025-03-04,negotiation,22533.87,,,2011.51,,9.07,12,
197,91,1,2025-10-05,initial,44404.35,38881.88,2405.52,3116.95,,0.88,12,
198,91,2,2025-10-24,negotiation,43829.92,38346.95,2398.94,3084.03,,2.25,12,
199,91,3,2025-11-12,approval,43633.91,38164.41,2396.7,3072.8,,2.71,12,
200,91,4,2025-12-01,final,42560.51,37164.81,2384.42,3011.28,,5.26,12,
201,92,1,2024-01-13,initial,135949.57,81458.38,,11006.37,,14.57,,
202,93,1,2022-11-17,initial,141046.51,96590.11,31793.7,12662.7,,3.53,12,
203,93,2,2022-12-29,negotiation,135960.04,92220.14,31514.19,12225.71,,7.89,12,
204,93,3,2023-02-09,approval,134265.2,90764.04,31421.06,12080.1,,9.35,12,
205,93,4,2023-03-23,final,130929.1,87897.88,31237.74,11793.48,,12.21,12,
206,94,1,2024-02-16,initial,122910.52,74463.06,29463.4,10180.57,0.00946,18.3,12,commercial review in progress
207,95,1,2024-07-02,initial,3291993.61,905695.69,202754.77,124050.59,,18.85,,
208,95,2,2024-08-12,negotiation,3213653.79,882224.9,201868.56,121703.51,,20.95,36,
209,97,1,2023-05-30,initial,382942.02,142321.01,13301.85,26684.14,0.00859,15.28,24,
210,97,2,2023-06-08,negotiation,378890.81,140666.83,13274.83,26455.1,0.00852,16.27,24,
211,97,3,2023-06-18,approval,370959.64,137401.04,13221.48,26002.91,0.0084,18.21,24,
212,98,1,2025-09-11,initial,448099.96,371163.03,26691.2,50245.73,,15.19,12,commercial review in progress
213,98,2,2025-10-04,negotiation,441320.48,365069.56,26614.54,49636.38,,16.58,12,
214,98,3,2025-10-27,approval,433791.1,358302.06,26529.41,48959.63,,18.13,12,
215,99,1,2024-06-25,initial,1574065.16,654044.55,90144.92,87915.57,,12.84,24,
216,99,2,2024-07-28,negotiation,1530780.7,634587.88,89665.12,85969.91,,15.43,24,commercial review in progress
217,99,3,2024-08-30,approval,1498063.07,619881.08,89302.45,84499.23,,17.39,24,
218,100,1,2023-09-19,initial,691871.27,238564.79,33829.45,32211.2,0.0099,14.34,24,commercial review in progress
219,100,2,2023-09-27,negotiation,693131.63,239025.47,33840.98,32257.27,0.00992,14.17,24,
220,100,3,2023-10-04,approval,673015.73,231095.22,33642.62,31464.25,0.00971,17.02,24,
221,100,4,2023-10-12,final,658112.36,225243.25,33496.25,30879.05,0.00955,19.12,24,
222,102,1,2023-06-19,initial,,414536.61,,79154.79,0.0097,20.86,12,
223,102,2,2023-07-10,negotiation,630850.11,409393.87,109061.08,78442.72,0.00963,21.84,12,
224,103,1,2023-04-19,initial,20128.2,14599.91,3618.5,1909.79,,2.62,12,
225,103,2,2023-05-24,negotiation,20007.85,14495.12,3613.42,1899.31,,3.32,12,
226,103,3,2023-06-29,approval,19607.06,14146.15,3596.49,1864.42,,5.65,12,
227,105,1,2025-02-24,initial,26457.52,19095.58,5793.9,1568.04,,10.28,,
228,106,1,2025-06-20,initial,57233.95,38059.5,15088.46,3082.8,0.0103,5.14,,commercial review in progress
229,106,2,2025-07-21,negotiation,56337.46,37283.39,,,0.01016,7.07,12,
230,107,1,2023-02-22,initial,94459.52,18475.41,3894.43,1514.18,0.01027,9.58,48,commercial review in progress
231,107,2,2023-03-28,negotiation,93390.75,18245.27,3885.48,1500.02,0.01019,10.71,48,
232,107,3,2023-05-02,approval,91191.19,17772.93,3867.13,1470.95,0.01002,13.02,48,
233,108,1,2023-10-20,initial,3291306.17,984096.95,96144.08,80957.08,,10.93,36,
234,108,2,2023-11-10,negotiation,3180556.09,949513.57,95528.74,78828.88,,14.06,36,
235,108,3,2023-12-01,approval,3131815.33,934293.54,95257.93,77892.26,,15.44,36,commercial review in progress
236,108,4,2023-12-22,final,3080414.45,918242.85,94972.34,76904.52,,16.89,36,
237,109,1,2023-10-27,initial,6990723.29,1911558.43,180961.88,358362.04,,15.24,36,
238,109,2,2023-11-10,negotiation,6779338.49,1849964.98,179942.39,349833.72,,17.98,36,
239,109,3,2023-11-24,approval,6559916.76,1786029.73,178884.15,340981.14,,20.81,36,
240,110,1,2023-02-13,initial,4439749.24,1579278.29,328633.06,215261.76,0.0096,17.36,24,
241,110,2,2023-03-31,negotiation,4359060.55,,327451.14,211944.43,0.00948,19.1,24,commercial review in progress
242,111,1,2024-05-07,initial,4090782.85,1659285.01,155133.11,308539.86,,12.52,24,
243,111,2,2024-05-14,negotiation,4033218.36,1634188.23,154712.06,305064.92,,13.85,24,
244,111,3,2024-05-21,approval,3907906.62,1579555.22,153795.48,297500.35,,16.73,24,
245,111,4,2024-05-29,final,3784689.14,1525835.26,152894.22,290062.2,,19.56,24,
246,112,1,2024-03-29,initial,31087.07,26882.28,2054.21,2150.58,,0.0,12,
247,112,2,2024-04-08,negotiation,30777.32,26594.63,2049.81,2132.88,,1.07,12,
248,112,3,2024-04-18,approval,30337.33,26186.03,2043.57,2107.73,,2.59,12,
249,113,1,2023-07-02,initial,63955.31,27770.86,2106.42,2255.8,0.01066,6.24,24,
250,113,2,2023-07-16,negotiation,63752.63,27678.4,2105.09,2250.11,0.01063,6.55,24,commercial review in progress
251,113,3,2023-07-31,approval,62102.34,26921.3,2094.19,2203.52,0.01044,9.11,24,
252,114,1,2024-10-10,initial,65092.73,36760.98,21919.2,,,2.32,12,
253,114,2,2024-11-04,negotiation,64372.72,36179.78,21851.18,2921.2,0.01172,3.86,12,commercial review in progress
254,115,1,2025-01-27,initial,83611.88,,,,0.01211,6.7,12,
255,115,2,2025-03-05,negotiation,82424.7,47481.21,23889.98,8730.08,0.01196,8.51,12,
256,116,1,2023-02-17,initial,70253.16,25919.03,4306.24,3369.47,0.0114,0.0,24,commercial review in progress
257,116,2,2023-03-17,negotiation,70205.11,25900.41,4305.62,3367.61,0.01139,0.07,24,
258,116,3,2023-04-13,approval,68499.93,25194.76,4282.17,3297.04,0.01119,2.79,24,
259,116,4,2023-05-11,final,67276.76,24690.47,4265.42,3246.61,0.01104,4.74,24,
260,117,1,2024-11-03,initial,29712.12,20040.16,5907.04,,0.00943,12.25,,commercial review in progress
261,119,1,2023-11-18,initial,1515373.59,1017008.19,242755.76,143648.91,0.00781,27.27,,
262,119,2,2024-01-13,negotiation,1486087.19,,241860.52,141211.25,0.0077,29.01,,
263,120,1,2023-07-25,initial,2074000.03,570959.3,38790.7,107443.81,,16.45,36,
264,120,2,2023-08-15,negotiation,2017024.66,554334.46,38595.55,105141.91,,18.89,36,
265,120,3,2023-09-05,approval,1956533.95,536683.88,38388.37,102697.98,,21.47,36,
266,121,1,2023-04-21,initial,12016552.03,1882505.15,393826.89,258317.14,0.00796,19.4,60,
267,121,2,2023-05-16,negotiation,11710558.04,1830141.47,391989.67,253080.77,0.00782,21.64,60,
268,121,3,2023-06-09,approval,11473418.1,1789383.37,390559.65,249004.96,0.00772,23.39,60,
269,121,4,2023-07-04,final,11143915.87,1732981.05,388580.73,243364.73,0.00757,25.8,60,
270,122,1,2023-04-14,initial,806727.5,330000.02,23879.88,61423.79,,12.86,24,
271,122,2,2023-05-05,negotiation,781955.99,319182.14,23739.85,59925.93,,15.72,24,commercial review in progress
272,122,3,2023-05-26,approval,765957.86,312195.65,23649.42,58958.57,,17.57,24,commercial review in progress
273,122,4,2023-06-16,final,747969.56,304340.04,23547.74,57870.87,,19.64,24,
274,123,1,2024-07-15,initial,1207869.87,445332.39,108669.02,82746.96,0.00882,12.27,24,commercial review in progress
275,123,2,2024-08-04,negotiation,1184185.16,435379.38,108232.16,81368.85,0.0087,14.23,24,
276,123,3,2024-08-24,approval,1152335.5,422013.37,107645.49,79518.17,0.00853,16.86,24,
277,123,4,2024-09-13,final,1125893.56,410914.37,107158.32,77981.39,0.00839,19.05,24,
278,124,1,2023-04-23,initial,1139026.71,327580.31,23872.05,44137.91,,13.64,36,
279,124,2,2023-05-02,negotiation,1097146.16,314938.8,23708.48,42873.76,,16.97,36,
280,124,3,2023-05-12,approval,1072198.37,307408.39,23611.04,42120.72,,18.96,36,
281,125,1,2023-10-29,initial,502406.14,,,10744.93,0.00857,19.95,,
282,126,1,2025-05-11,initial,514602.54,105927.86,,14158.74,,10.88,48,commercial review in progress
283,126,2,2025-06-22,negotiation,,102790.98,,13845.05,,13.52,48,
284,126,3,2025-08-03,approval,492098.28,100880.84,33958.76,13654.04,,15.13,48,commercial review in progress
285,127,1,2024-11-16,initial,149277.44,,25025.02,9779.76,,14.12,,commercial review in progress
286,127,2,2025-02-06,negotiation,146883.08,51332.5,,9639.37,,15.78,24,
287,128,1,2023-01-01,initial,1689065.16,349626.29,97078.64,48370.34,,21.77,48,
288,128,2,2023-01-20,negotiation,1669664.86,345262.18,96880.42,,,22.75,48,
289,128,3,2023-02-09,approval,1652121.09,341315.7,96701.17,,,23.63,48,
290,130,1,2024-04-07,initial,871599.96,684069.46,95112.69,92417.81,,14.53,,
291,132,1,2024-12-15,initial,,23862.91,6217.38,1940.65,0.01027,6.69,12,
292,132,2,2025-01-30,negotiation,32446.16,23651.82,6206.98,,0.01021,7.52,12,
293,133,1,2023-04-02,initial,88134.48,35075.28,7303.61,2859.25,0.01031,7.6,24,
